RDC,Trans_cost,Trunk_cost,Transit_cost,Dist_cost,Rdc_cus_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost,Total_Area,RDC_Shipping_Distance,RDC_Reverse_Distance
1,44212619.8995607,103358391.15242991,146618342.1296851,23179246.066547126,273155979.34866214,11047369.227993436,15814146.00074494,35602763.65334721,379832878.1303084,87856.36667080523,432427.37,65744.24
2,44418872.3312431,81466025.98138046,143024214.4884632,23179246.06654713,247669486.53639078,9669360.256880065,19862508.8897516,35602763.65334721,357222991.66761273,92249.18500434552,430445.22000000003,56375.770000000004
3,44355435.75167295,64058451.73106525,142514599.51183677,23179246.066547126,229752297.30944914,8246219.076084228,24709083.810642548,36478268.942715935,343541304.89056486,96861.64425456282,411074.33,45321.28999999999
4,44396804.17481962,56409114.12488906,142757493.84403127,23179246.066547133,222345854.03546748,7911882.910834556,26526386.72635871,36466971.321780086,337647899.16926044,101704.726467291,376503.2300000001,41623.20666710001
5,44375450.14958628,49995395.22837458,143924135.14944348,23179246.06654714,217098776.4443652,6549344.660346178,28714492.316843614,36466971.321780086,333205034.8929213,106789.96279065553,344472.14,30782.966667099998
6,44391736.74072507,46566826.36301898,141252470.4707597,23179246.06654714,210998542.90032583,6377797.412617863,30683488.957324937,36461826.25343661,328913392.2644303,112129.46093018827,342318.27999999997,28085.2066671
7,44402755.16864201,42913538.90034919,141567391.81233773,23179246.06654714,207660176.77923405,6093686.398818617,32089826.41399305,36461826.25343662,326708271.01412433,117735.93397669768,287394.29999999993,25327.0033338
8,44409809.717016816,41510518.6057105,138767787.73098,23179246.06654714,203457552.40323764,6125877.396043039,33891405.43828712,36755667.33344538,324640312.28803,123622.73067553254,287642.17999999993,25471.5433338
9,44411013.461039566,39998601.020141415,137371127.16679496,23179246.06654714,200548974.25348353,6022246.457426269,35602317.487317674,36741129.02818753,323325680.6874545,129803.86720930919,277759.94999999995,24646.2783338
10,44405417.333765015,38439070.34002,136074547.92042717,23179246.066547137,197692864.3269943,5805095.201733824,37585592.17804841,36741129.028187536,322230098.06872904,136294.06056977462,264488.54,23420.6483338
11,44387523.53852495,36049774.316420406,135747340.27332118,23179246.066547137,194976360.6562887,5625321.067375362,39940739.457039684,36741129.028187536,321671073.7474162,143108.76359826338,254934.49,22196.1383338
12,44263575.94692517,34885003.84478682,134844657.7944782,23179246.066547137,192908907.70581216,5506919.570460553,41847859.36087926,36740273.394177414,321267535.97825456,150264.20177817653,234157.87,20807.790000099998
13,44243777.22049699,34405544.38337339,132584191.43982798,23179246.066547137,190168981.88974848,5508891.031415515,44414660.907247655,36736546.28217741,321072857.33108604,157777.41186708535,233876.02999999997,20820.140000099997
14,43904747.292536885,37477920.54247986,129309992.06447136,23179246.06654714,189967158.6734984,5393141.713384261,45529816.78304471,36523984.84722091,321318849.3096851,165666.28246043963,230135.97000000003,19991.170000100003
