RDC,Trans_cost,Trunk_cost,Transit_cost,Dist_cost,Rdc_cus_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost,Total_Area,RDC_Shipping_Distance,RDC_Reverse_Distance
1,11196763.311513055,25615965.65534728,113481879.19481866,23179246.066547126,162277090.91671306,11046680.570842873,23194080.80109258,35602763.65334721,243317379.25350875,87856.36667080523,512108.15999999986,68165.25000000001
2,10369264.811239196,18491040.90882392,113481879.19481874,23179246.066547137,155152166.1701898,8827712.243087541,25407515.580397476,35602763.6533472,235359422.4582612,92249.18500434549,442671.02000000014,50471.83500000001
3,12426770.608330995,14213327.234130751,113481879.19481869,23179246.06654714,150874452.49549657,6988713.193605732,26374583.353893697,35602763.65334721,232267283.3046742,96861.64425456282,333450.96,34154.475
4,13716149.998097632,12922802.26964902,113481879.1948187,23179246.06654714,149583927.53101486,6669707.1024135165,26189104.60802295,35602763.6533472,231761652.89289615,101704.72646729101,314594.6100000001,32579.704999999998
5,13551921.009795953,12336759.901546909,113481879.19481869,23179246.066547137,148997885.16291273,6376940.466576256,27857422.013442338,35602763.6533472,232386932.30607447,106789.96279065551,288963.52,30229.295
6,13764652.830785621,11942853.756489847,113481879.19481872,23179246.06654714,148603979.0178557,6189974.673226494,29040764.29862878,35602763.6533472,233202134.4738438,112129.4609301883,268581.38999999996,28409.871666699997
7,14059438.943236174,11495151.299947616,113481879.19481872,23179246.06654714,148156276.56131348,6007337.9955714345,30381585.27464596,35602763.65334721,234207402.42811424,117735.9339766977,264774.24,25639.4616667
8,14347425.152298372,11134099.036789224,113481879.1948187,23179246.066547137,147795224.29815507,5737465.080117899,31955723.523361474,35602763.65334721,235438601.70728,123622.73067553258,241847.44999999998,23230.811666699996
9,14420691.896891415,11015206.361117974,113481879.1948187,23179246.066547137,147676331.62248382,5652919.907969523,33476446.615324814,35602763.65334721,236829153.6960168,129803.86720930922,238827.16,22339.981666699998
10,14354434.66267611,10770814.174068876,113481879.19481872,23179246.066547137,147431939.43543473,5522172.2665044395,35421565.82739039,35602763.6533472,238332875.84535286,136294.06056977468,238181.17999999996,21463.041666699995
11,14659060.514200307,10495140.957127238,113481879.1948187,23179246.066547137,147156266.21849307,5366857.269203779,37180057.15134801,35602763.6533472,239965004.80659238,143108.76359826344,220228.3,19464.796666699996
12,14784698.262409307,10397230.668592105,113481879.19481869,23179246.066547137,147058355.92995793,5281387.43422067,38998912.00289986,35602763.6533472,241726117.28283495,150264.20177817656,218432.74,18839.551666699997
13,14792139.804975381,10335846.452223843,113481879.19481869,23179246.066547137,146996971.71358967,5226423.024579763,41005043.52401995,35602763.6533472,243623341.72051197,157777.41186708538,219933.22,18335.791666699995
14,14836319.768195368,10376029.394951474,113481879.19481869,23179246.066547137,147037154.6563173,5110763.101841058,43073627.868704,35602763.6533472,245660629.0484049,165666.28246043963,220826.33,17543.111666700002
