济南市,中山市,成都市/资阳市/眉山市,湖州市,天津市,鄂州市
"('保定市', 2280495)","('清远市', 8678465)","('贵阳市', 2044674)","('杭州市', 11706803)","('保定市', 5196866)","('黄山市', 3256940)"
"('无锡市', 38437)","('安庆市', 146273)","('安庆市', 34462)","('无锡市', 197314)","('无锡市', 87591)","('安庆市', 54895)"
"('石家庄市', 32734)","('广州市', 124570)","('石家庄市', 29349)","('上海市', 168038)","('石家庄市', 74595)","('上海市', 46750)"
"('长春市', 263162)","('珠海市', 1001469)","('广州市', 235949)","('深圳市', 1350931)","('长春市', 599703)","('广州市', 375841)"
"('济宁市', 83686)","('荆州市', 318468)","('荆州市', 75032)","('绍兴市', 429597)","('廊坊市', 190706)","('荆州市', 119518)"
"('常州市', 2331)","('中山市', 8872)","('中山市', 2090)","('苏州市', 11968)","('常州市', 5313)","('常州市', 3330)"
"('武汉市', 2034625)","('东莞市', 7742804)","('武汉市', 1824229)","('福州市', 10444646)","('武汉市', 4636571)","('武汉市', 2905796)"
"('保定市', 574)","('珠海市', 2185)","('广州市', 515)","('金华市', 2947)","('保定市', 1308)","('金华市', 820)"
"('济宁市', 5493511)","('广州市', 20905659)","('济宁市', 4925440)","('杭州市', 28200660)","('济宁市', 12518793)","('杭州市', 7845681)"
"('天津市', 61860)","('绍兴市', 235411)","('成都市/资阳市/眉山市', 55464)","('绍兴市', 317557)","('天津市', 140969)","('无锡市', 88347)"
