东莞市,湖州市,鄂州市
"('惠州市', 9471777)","('杭州市', 16250923)","('黄山市', 12477822)"
"('安庆市', 159644)","('无锡市', 273904)","('安庆市', 210310)"
"('中山市', 119468)","('苏州市', 204973)","('合肥市', 157383)"
"('东莞市', 1231923)","('无锡市', 2113636)","('长沙市', 1622897)"
"('广州市', 463971)","('苏州市', 796045)","('苏州市', 611222)"
"('肇庆市', 4069134)","('杭州市', 6981497)","('杭州市', 5360550)"
"('东莞市', 86237)","('保定市', 147958)","('石家庄市', 113605)"
"('深圳市', 327619)","('泉州市', 562103)","('益阳市', 431595)"
"('广州市', 135957)","('上海市', 233264)","('上海市', 179105)"
"('广州市', 1093015)","('广州市', 1875309)","('广州市', 1439904)"
"('荆州市', 347580)","('无锡市', 596349)","('荆州市', 457890)"
"('深圳市', 9683)","('苏州市', 16614)","('常州市', 12756)"
"('东莞市', 8450586)","('武汉市', 14498845)","('武汉市', 11132538)"
"('东莞市', 2385)","('金华市', 4091)","('金华市', 3142)"
"('广州市', 22816678)","('杭州市', 39147045)","('杭州市', 30057977)"
"('绍兴市', 256930)","('无锡市', 440820)","('无锡市', 338472)"
