小哥id,收件能力,派件能力,保底收入,收件成本,派件成本
id_0,68,86,94,1,1
id_1,81,72,98,1,1
id_2,58,88,87,1,1
id_3,44,94,115,1,1
id_4,72,64,87,1,1
id_5,37,92,71,1,1
id_6,50,78,123,1,1
id_7,68,85,104,1,1
id_8,87,62,85,1,1
id_9,48,81,110,1,1
id_10,52,56,105,1,1
id_11,40,108,102,1,1
id_12,40,100,73,1,1
id_13,53,71,102,1,1
id_14,82,77,83,1,1
id_15,65,51,90,1,1
id_16,69,91,117,1,1
id_17,53,94,89,1,1
id_18,32,106,125,1,1
id_19,51,102,77,1,1
id_20,82,55,76,1,1
id_21,31,77,72,1,1
id_22,53,77,86,1,1
id_23,73,93,102,1,1
id_24,59,93,117,1,1
id_25,67,69,81,1,1
id_26,31,79,128,1,1
id_27,89,60,120,1,1
id_28,50,107,91,1,1
id_29,62,104,124,1,1
id_30,41,77,91,1,1
id_31,87,74,115,1,1
id_32,51,88,99,1,1
id_33,73,82,107,1,1
id_34,54,50,107,1,1
id_35,78,106,114,1,1
id_36,56,76,120,1,1
id_37,88,106,123,1,1
id_38,71,101,77,1,1
id_39,57,62,96,1,1
id_40,89,90,96,1,1
id_41,45,52,103,1,1
id_42,44,88,90,1,1
id_43,76,55,99,1,1
id_44,80,57,102,1,1
id_45,73,76,97,1,1
id_46,84,58,116,1,1
id_47,81,86,102,1,1
id_48,86,82,74,1,1
id_49,32,100,129,1,1
id_50,66,91,117,1,1
id_51,80,93,88,1,1
id_52,36,73,73,1,1
id_53,50,64,104,1,1
id_54,38,108,118,1,1
id_55,68,103,86,1,1
id_56,47,81,113,1,1
id_57,33,81,97,1,1
id_58,54,73,99,1,1
id_59,89,90,98,1,1
id_60,43,101,115,1,1
id_61,79,98,122,1,1
id_62,87,98,75,1,1
id_63,38,107,104,1,1
id_64,55,101,129,1,1
id_65,82,61,110,1,1
id_66,31,88,106,1,1
id_67,49,51,93,1,1
id_68,57,52,98,1,1
id_69,76,98,118,1,1
id_70,89,86,115,1,1
id_71,36,98,122,1,1
id_72,73,105,100,1,1
id_73,37,66,104,1,1
id_74,76,108,129,1,1
id_75,64,98,102,1,1
id_76,43,51,121,1,1
id_77,46,51,90,1,1
id_78,65,77,101,1,1
id_79,79,103,92,1,1
id_80,69,72,102,1,1
id_81,33,86,72,1,1
id_82,31,81,87,1,1
id_83,35,82,94,1,1
id_84,83,50,111,1,1
id_85,71,68,100,1,1
id_86,33,51,123,1,1
id_87,83,102,127,1,1
id_88,58,93,72,1,1
id_89,47,75,109,1,1
id_90,55,81,115,1,1
id_91,73,55,93,1,1
id_92,63,81,119,1,1
id_93,39,104,101,1,1
id_94,65,53,116,1,1
id_95,43,104,91,1,1
id_96,60,60,92,1,1
id_97,77,105,71,1,1
id_98,44,108,96,1,1
id_99,37,66,111,1,1
id_100,43,87,71,1,1
id_101,52,73,95,1,1
id_102,89,54,86,1,1
id_103,86,101,109,1,1
id_104,69,83,102,1,1
id_105,50,55,78,1,1
id_106,45,71,112,1,1
id_107,74,60,123,1,1
id_108,47,97,117,1,1
id_109,76,65,108,1,1
id_110,82,82,98,1,1
id_111,53,58,111,1,1
id_112,55,109,124,1,1
id_113,54,108,95,1,1
id_114,89,55,104,1,1
id_115,89,65,119,1,1
id_116,89,78,94,1,1
id_117,74,52,93,1,1
id_118,70,69,82,1,1
id_119,58,109,129,1,1
id_120,44,108,127,1,1
id_121,74,85,76,1,1
id_122,30,68,126,1,1
id_123,54,75,105,1,1
id_124,36,52,114,1,1
id_125,38,68,89,1,1
id_126,53,69,70,1,1
id_127,30,81,77,1,1
id_128,73,56,115,1,1
id_129,37,101,85,1,1
id_130,53,90,83,1,1
id_131,40,82,81,1,1
id_132,80,89,120,1,1
id_133,46,88,92,1,1
id_134,37,67,84,1,1
id_135,64,89,97,1,1
id_136,64,50,103,1,1
id_137,62,60,71,1,1
id_138,88,77,101,1,1
id_139,34,106,92,1,1
id_140,71,74,91,1,1
id_141,68,99,120,1,1
id_142,87,72,94,1,1
id_143,70,80,127,1,1
id_144,57,79,91,1,1
id_145,36,91,127,1,1
id_146,38,84,127,1,1
id_147,37,56,91,1,1
id_148,41,109,118,1,1
id_149,63,65,121,1,1
id_150,62,75,111,1,1
id_151,77,97,75,1,1
id_152,84,106,84,1,1
id_153,52,101,123,1,1
id_154,53,109,112,1,1
id_155,66,98,129,1,1
id_156,64,51,106,1,1
id_157,73,50,102,1,1
id_158,69,97,77,1,1
id_159,51,61,122,1,1
id_160,56,54,129,1,1
id_161,64,86,113,1,1
id_162,30,81,113,1,1
id_163,64,108,74,1,1
id_164,66,104,108,1,1
id_165,76,58,73,1,1
id_166,43,90,75,1,1
id_167,32,84,114,1,1
id_168,30,68,101,1,1
id_169,34,97,121,1,1
id_170,55,65,99,1,1
id_171,84,52,116,1,1
id_172,43,69,104,1,1
id_173,68,73,124,1,1
id_174,56,103,109,1,1
id_175,38,105,121,1,1
id_176,44,82,85,1,1
id_177,44,73,82,1,1
id_178,55,101,119,1,1
id_179,71,60,129,1,1
id_180,89,98,111,1,1
id_181,42,57,99,1,1
id_182,80,85,88,1,1
id_183,61,87,86,1,1
id_184,68,89,125,1,1
id_185,78,69,88,1,1
id_186,81,84,97,1,1
id_187,61,97,127,1,1
id_188,33,74,124,1,1
id_189,59,84,95,1,1
