,column,importance
round0,pai_num_groupby_weekday_median,175
round0,day,170
round0,dayofyear,153
round0,daily_delim_1,102
round0,zone_id,97
round0,festival,91
round0,pai_num_groupby_month_max,87
round0,pai_num_shift_5,82
round0,daily_delim_5,75
round0,is_sale,71
round0,pai_num_shift_7,67
round0,pai_num_groupby_month_sum,64
round0,shou_num_shift_4,59
round0,pai_num_groupby_month_median,59
round0,pai_num_groupby_weekday_min,59
round0,pai_num_groupby_month_std,56
round0,shou_num_shift_3,54
round0,pai_num_groupby_weekday_max,53
round0,pai_num_shift_4,51
round0,pai_num_shift_6,50
round0,shou_num_shift_5,48
round0,weekday,46
round0,pai_num_shift_3,46
round0,weekofyear,45
round0,shou_num_shift_7,42
round0,shou_num_shift_6,41
round0,pai_num_groupby_weekday_sum,40
round0,pai_num_groupby_month_min,39
round0,daily_delim_3,34
round0,pai_num_groupby_weekday_std,34
round0,shou_num_groupby_month_std,31
round0,shou_num_groupby_weekday_median,28
round0,shou_num_groupby_weekday_min,20
round0,shou_num_groupby_weekday_std,19
round0,shou_num_groupby_month_min,19
round0,aoi_area,14
round0,month,12
round0,shou_num_groupby_month_max,12
round0,shou_num_groupby_weekday_sum,10
round0,shou_num_groupby_month_sum,8
round0,shou_num_groupby_month_median,8
round0,shou_num_groupby_weekday_max,7
round0,aoi_type,3
round0,aoi_num,3
round0,is_weekend,2
round0,daily_delim_4,0
round0,is_month_start,0
round0,quarter,0
round0,is_month_end,0
round0,is_quarter_start,0
round0,is_quarter_end,0
round0,daily_delim_6,0
round0,daily_delim_2,0
round1,pai_num_groupby_weekday_median,162
round1,dayofyear,159
round1,day,153
round1,festival,91
round1,daily_delim_5,87
round1,daily_delim_1,80
round1,is_sale,78
round1,zone_id,76
round1,pai_num_groupby_month_max,74
round1,pai_num_groupby_month_median,72
round1,pai_num_shift_5,70
round1,pai_num_groupby_weekday_min,67
round1,pai_num_shift_7,65
round1,pai_num_groupby_weekday_sum,60
round1,shou_num_shift_3,55
round1,pai_num_groupby_month_sum,54
round1,pai_num_groupby_month_std,54
round1,weekofyear,46
round1,shou_num_shift_4,46
round1,weekday,45
round1,pai_num_shift_3,45
round1,shou_num_shift_7,43
round1,pai_num_shift_6,41
round1,pai_num_groupby_weekday_max,40
round1,shou_num_shift_5,39
round1,pai_num_shift_4,38
round1,pai_num_groupby_month_min,36
round1,shou_num_shift_6,35
round1,pai_num_groupby_weekday_std,30
round1,shou_num_groupby_month_std,23
round1,shou_num_groupby_month_min,22
round1,shou_num_groupby_weekday_median,21
round1,daily_delim_3,21
round1,shou_num_groupby_weekday_std,19
round1,shou_num_groupby_weekday_sum,15
round1,shou_num_groupby_weekday_min,14
round1,shou_num_groupby_month_max,13
round1,aoi_area,10
round1,aoi_num,10
round1,shou_num_groupby_month_sum,9
round1,shou_num_groupby_weekday_max,7
round1,month,6
round1,shou_num_groupby_month_median,4
round1,aoi_type,3
round1,is_weekend,2
round1,is_month_end,1
round1,daily_delim_6,0
round1,daily_delim_4,0
round1,is_quarter_end,0
round1,is_quarter_start,0
round1,is_month_start,0
round1,quarter,0
round1,daily_delim_2,0
round2,pai_num_groupby_weekday_median,189
round2,dayofyear,180
round2,day,141
round2,pai_num_groupby_month_max,102
round2,festival,93
round2,daily_delim_1,92
round2,daily_delim_5,87
round2,zone_id,78
round2,pai_num_groupby_weekday_min,66
round2,is_sale,66
round2,shou_num_shift_4,63
round2,pai_num_groupby_month_sum,63
round2,pai_num_shift_5,60
round2,shou_num_shift_3,55
round2,pai_num_shift_3,55
round2,pai_num_shift_7,54
round2,pai_num_shift_4,53
round2,pai_num_groupby_weekday_sum,52
round2,weekofyear,50
round2,pai_num_groupby_month_median,50
round2,shou_num_shift_6,47
round2,weekday,44
round2,pai_num_groupby_weekday_std,43
round2,shou_num_shift_5,42
round2,pai_num_shift_6,42
round2,pai_num_groupby_month_std,41
round2,pai_num_groupby_weekday_max,40
round2,pai_num_groupby_month_min,35
round2,shou_num_shift_7,33
round2,shou_num_groupby_weekday_median,26
round2,shou_num_groupby_month_std,23
round2,shou_num_groupby_weekday_std,20
round2,shou_num_groupby_month_min,17
round2,daily_delim_3,17
round2,aoi_num,14
round2,month,13
round2,shou_num_groupby_weekday_min,12
round2,aoi_area,9
round2,shou_num_groupby_month_sum,8
round2,shou_num_groupby_weekday_max,8
round2,shou_num_groupby_weekday_sum,8
round2,shou_num_groupby_month_max,7
round2,shou_num_groupby_month_median,5
round2,aoi_type,3
round2,is_weekend,2
round2,is_month_start,0
round2,daily_delim_6,0
round2,is_quarter_start,0
round2,is_quarter_end,0
round2,daily_delim_4,0
round2,quarter,0
round2,is_month_end,0
round2,daily_delim_2,0
round3,dayofyear,186
round3,pai_num_groupby_weekday_median,157
round3,day,128
round3,festival,94
round3,zone_id,93
round3,daily_delim_1,87
round3,pai_num_groupby_month_max,86
round3,daily_delim_5,72
round3,pai_num_shift_4,71
round3,pai_num_groupby_weekday_sum,69
round3,is_sale,68
round3,pai_num_shift_7,66
round3,pai_num_shift_5,61
round3,shou_num_shift_4,57
round3,pai_num_groupby_month_median,56
round3,weekofyear,56
round3,shou_num_shift_3,55
round3,pai_num_groupby_weekday_min,54
round3,pai_num_groupby_month_sum,52
round3,pai_num_groupby_weekday_max,51
round3,weekday,50
round3,pai_num_groupby_month_min,50
round3,pai_num_shift_3,50
round3,shou_num_shift_5,48
round3,pai_num_groupby_month_std,47
round3,shou_num_shift_7,44
round3,pai_num_groupby_weekday_std,43
round3,pai_num_shift_6,30
round3,shou_num_shift_6,26
round3,daily_delim_3,25
round3,shou_num_groupby_weekday_std,22
round3,shou_num_groupby_weekday_median,20
round3,shou_num_groupby_month_std,20
round3,aoi_area,18
round3,shou_num_groupby_month_min,17
round3,shou_num_groupby_weekday_min,16
round3,aoi_num,14
round3,month,14
round3,shou_num_groupby_month_sum,9
round3,shou_num_groupby_weekday_max,6
round3,shou_num_groupby_month_max,5
round3,shou_num_groupby_weekday_sum,4
round3,shou_num_groupby_month_median,4
round3,is_weekend,2
round3,is_month_end,1
round3,aoi_type,1
round3,is_quarter_end,0
round3,is_quarter_start,0
round3,quarter,0
round3,is_month_start,0
round3,daily_delim_6,0
round3,daily_delim_4,0
round3,daily_delim_2,0
round4,dayofyear,187
round4,pai_num_groupby_weekday_median,182
round4,day,141
round4,zone_id,93
round4,daily_delim_1,87
round4,festival,86
round4,pai_num_groupby_month_max,84
round4,shou_num_shift_3,71
round4,pai_num_groupby_month_median,70
round4,daily_delim_5,69
round4,is_sale,69
round4,pai_num_shift_5,62
round4,pai_num_shift_4,62
round4,pai_num_shift_7,60
round4,shou_num_shift_4,59
round4,pai_num_groupby_weekday_sum,59
round4,weekday,58
round4,pai_num_groupby_weekday_min,56
round4,weekofyear,52
round4,pai_num_groupby_month_std,48
round4,pai_num_shift_3,47
round4,pai_num_groupby_month_sum,44
round4,pai_num_groupby_weekday_max,44
round4,shou_num_shift_5,41
round4,shou_num_shift_7,40
round4,pai_num_groupby_month_min,40
round4,pai_num_shift_6,38
round4,pai_num_groupby_weekday_std,34
round4,shou_num_shift_6,31
round4,shou_num_groupby_weekday_median,30
round4,shou_num_groupby_month_std,22
round4,shou_num_groupby_month_min,22
round4,aoi_area,21
round4,daily_delim_3,20
round4,shou_num_groupby_weekday_std,19
round4,aoi_num,11
round4,shou_num_groupby_weekday_min,11
round4,shou_num_groupby_month_median,11
round4,month,11
round4,shou_num_groupby_weekday_max,8
round4,shou_num_groupby_weekday_sum,8
round4,shou_num_groupby_month_max,8
round4,shou_num_groupby_month_sum,6
round4,aoi_type,2
round4,is_weekend,2
round4,is_month_end,1
round4,is_quarter_end,0
round4,quarter,0
round4,is_month_start,0
round4,daily_delim_6,0
round4,is_quarter_start,0
round4,daily_delim_4,0
round4,daily_delim_2,0
round5,dayofyear,185
round5,pai_num_groupby_weekday_median,155
round5,day,144
round5,pai_num_groupby_month_max,93
round5,festival,91
round5,zone_id,88
round5,daily_delim_1,82
round5,daily_delim_5,73
round5,pai_num_groupby_weekday_sum,67
round5,is_sale,67
round5,pai_num_shift_7,67
round5,shou_num_shift_3,64
round5,shou_num_shift_5,64
round5,pai_num_groupby_weekday_min,62
round5,pai_num_shift_5,61
round5,pai_num_groupby_month_min,60
round5,pai_num_groupby_month_std,59
round5,weekofyear,58
round5,pai_num_shift_3,58
round5,weekday,55
round5,pai_num_groupby_month_median,53
round5,shou_num_shift_4,51
round5,pai_num_shift_4,45
round5,pai_num_groupby_weekday_max,43
round5,pai_num_groupby_weekday_std,39
round5,shou_num_shift_7,34
round5,pai_num_groupby_month_sum,33
round5,shou_num_groupby_weekday_median,32
round5,shou_num_shift_6,30
round5,pai_num_shift_6,29
round5,shou_num_groupby_month_std,26
round5,shou_num_groupby_month_min,23
round5,daily_delim_3,20
round5,shou_num_groupby_month_median,18
round5,shou_num_groupby_weekday_min,17
round5,shou_num_groupby_month_max,14
round5,shou_num_groupby_weekday_std,13
round5,month,12
round5,aoi_num,9
round5,shou_num_groupby_weekday_max,8
round5,shou_num_groupby_month_sum,8
round5,aoi_area,7
round5,aoi_type,3
round5,shou_num_groupby_weekday_sum,2
round5,is_weekend,2
round5,is_quarter_end,0
round5,quarter,0
round5,is_month_start,0
round5,is_month_end,0
round5,daily_delim_6,0
round5,is_quarter_start,0
round5,daily_delim_4,0
round5,daily_delim_2,0
round6,dayofyear,183
round6,pai_num_groupby_weekday_median,180
round6,daily_delim_1,127
round6,day,104
round6,pai_num_groupby_month_max,93
round6,zone_id,89
round6,festival,85
round6,pai_num_shift_5,75
round6,pai_num_groupby_weekday_min,73
round6,pai_num_groupby_month_median,72
round6,shou_num_shift_3,70
round6,is_sale,64
round6,pai_num_shift_3,62
round6,pai_num_shift_7,60
round6,weekofyear,59
round6,pai_num_groupby_weekday_sum,57
round6,daily_delim_5,55
round6,weekday,55
round6,pai_num_shift_4,55
round6,pai_num_groupby_month_min,46
