,column,importance
round0,zone_id,70
round0,dayofyear,43
round0,shou_num_groupby_weekday_median,35
round0,daily_delim_5,30
round0,festival,21
round0,day,21
round0,pai_num_shift_3,20
round0,shou_num_shift_3,20
round0,pai_num_shift_4,18
round0,shou_num_shift_7,17
round0,daily_delim_1,17
round0,weekofyear,17
round0,shou_num_shift_6,15
round0,pai_num_shift_5,15
round0,pai_num_groupby_weekday_std,12
round0,shou_num_shift_5,11
round0,shou_num_groupby_weekday_std,10
round0,shou_num_groupby_month_median,9
round0,shou_num_shift_4,8
round0,pai_num_groupby_month_sum,8
round0,pai_num_shift_7,8
round0,shou_num_groupby_weekday_sum,8
round0,pai_num_groupby_month_median,7
round0,shou_num_groupby_weekday_min,7
round0,pai_num_groupby_weekday_median,7
round0,shou_num_groupby_weekday_max,6
round0,shou_num_groupby_month_std,6
round0,pai_num_groupby_month_std,6
round0,shou_num_groupby_month_sum,6
round0,pai_num_groupby_month_min,6
round0,pai_num_shift_6,6
round0,shou_num_groupby_month_max,5
round0,is_sale,5
round0,pai_num_groupby_weekday_min,5
round0,daily_delim_3,4
round0,pai_num_groupby_weekday_max,4
round0,is_month_end,4
round0,pai_num_groupby_weekday_sum,4
round0,weekday,3
round0,pai_num_groupby_month_max,2
round0,shou_num_groupby_month_min,2
round0,is_weekend,1
round0,month,1
round0,daily_delim_6,0
round0,daily_delim_4,0
round0,aoi_num,0
round0,is_quarter_end,0
round0,is_quarter_start,0
round0,is_month_start,0
round0,quarter,0
round0,aoi_area,0
round0,aoi_type,0
round0,daily_delim_2,0
round1,zone_id,60
round1,dayofyear,44
round1,pai_num_shift_3,33
round1,daily_delim_5,33
round1,shou_num_groupby_weekday_median,31
round1,shou_num_shift_3,23
round1,shou_num_groupby_weekday_sum,20
round1,festival,19
round1,pai_num_shift_5,19
round1,daily_delim_1,17
round1,weekofyear,15
round1,day,14
round1,pai_num_shift_6,13
round1,shou_num_shift_6,13
round1,shou_num_shift_5,11
round1,weekday,10
round1,shou_num_shift_4,10
round1,pai_num_shift_7,10
round1,pai_num_groupby_month_sum,10
round1,pai_num_groupby_month_min,9
round1,pai_num_groupby_month_std,8
round1,pai_num_groupby_weekday_max,8
round1,shou_num_shift_7,7
round1,shou_num_groupby_month_median,7
round1,shou_num_groupby_month_std,7
round1,daily_delim_3,7
round1,shou_num_groupby_weekday_min,6
round1,shou_num_groupby_weekday_std,6
round1,shou_num_groupby_month_min,6
round1,is_sale,6
round1,shou_num_groupby_month_max,5
round1,pai_num_groupby_weekday_median,5
round1,pai_num_groupby_weekday_std,5
round1,pai_num_groupby_month_max,5
round1,is_month_end,5
round1,pai_num_shift_4,5
round1,pai_num_groupby_weekday_min,4
round1,shou_num_groupby_month_sum,4
round1,shou_num_groupby_weekday_max,3
round1,pai_num_groupby_month_median,3
round1,pai_num_groupby_weekday_sum,2
round1,aoi_num,1
round1,aoi_type,0
round1,aoi_area,0
round1,month,0
round1,daily_delim_6,0
round1,quarter,0
round1,is_weekend,0
round1,is_month_start,0
round1,daily_delim_4,0
round1,is_quarter_start,0
round1,is_quarter_end,0
round1,daily_delim_2,0
round2,zone_id,68
round2,dayofyear,42
round2,daily_delim_5,33
round2,shou_num_groupby_weekday_median,30
round2,pai_num_shift_3,27
round2,daily_delim_1,25
round2,day,24
round2,shou_num_shift_3,23
round2,shou_num_groupby_weekday_sum,21
round2,weekofyear,17
round2,pai_num_shift_5,16
round2,festival,15
round2,pai_num_shift_4,14
round2,shou_num_shift_5,12
round2,pai_num_groupby_weekday_max,11
round2,pai_num_shift_7,11
round2,shou_num_shift_4,10
round2,shou_num_shift_7,10
round2,shou_num_groupby_month_median,10
round2,shou_num_groupby_weekday_max,10
round2,shou_num_shift_6,9
round2,pai_num_groupby_weekday_median,7
round2,pai_num_shift_6,7
round2,shou_num_groupby_month_max,6
round2,pai_num_groupby_month_min,6
round2,shou_num_groupby_month_min,6
round2,pai_num_groupby_weekday_min,6
round2,shou_num_groupby_month_std,6
round2,shou_num_groupby_weekday_min,5
round2,shou_num_groupby_weekday_std,5
round2,is_sale,5
round2,weekday,4
round2,pai_num_groupby_weekday_std,4
round2,pai_num_groupby_month_max,4
round2,pai_num_groupby_month_sum,4
round2,shou_num_groupby_month_sum,3
round2,is_month_end,3
round2,daily_delim_3,2
round2,pai_num_groupby_weekday_sum,2
round2,pai_num_groupby_month_median,2
round2,aoi_num,1
round2,pai_num_groupby_month_std,1
round2,daily_delim_6,0
round2,aoi_type,0
round2,aoi_area,0
round2,month,0
round2,is_quarter_start,0
round2,quarter,0
round2,is_weekend,0
round2,is_month_start,0
round2,daily_delim_4,0
round2,is_quarter_end,0
round2,daily_delim_2,0
round3,zone_id,54
round3,dayofyear,41
round3,daily_delim_5,34
round3,shou_num_groupby_weekday_median,27
round3,daily_delim_1,22
round3,festival,21
round3,day,20
round3,pai_num_shift_3,20
round3,shou_num_groupby_weekday_sum,20
round3,shou_num_shift_5,20
round3,shou_num_shift_3,19
round3,shou_num_shift_7,16
round3,shou_num_groupby_month_std,14
round3,pai_num_shift_5,14
round3,pai_num_groupby_weekday_median,12
round3,weekofyear,11
round3,shou_num_shift_4,11
round3,pai_num_shift_7,11
round3,pai_num_shift_4,11
round3,shou_num_groupby_weekday_max,10
round3,shou_num_groupby_month_max,9
round3,pai_num_groupby_month_max,9
round3,weekday,8
round3,pai_num_groupby_month_min,8
round3,pai_num_shift_6,8
round3,shou_num_groupby_month_median,7
round3,daily_delim_3,7
round3,pai_num_groupby_weekday_max,7
round3,shou_num_groupby_weekday_std,6
round3,pai_num_groupby_month_sum,6
round3,pai_num_groupby_weekday_sum,6
round3,pai_num_groupby_weekday_std,6
round3,is_sale,6
round3,shou_num_shift_6,6
round3,pai_num_groupby_month_std,4
round3,shou_num_groupby_month_min,4
round3,pai_num_groupby_weekday_min,3
round3,pai_num_groupby_month_median,3
round3,is_month_end,3
round3,shou_num_groupby_month_sum,2
round3,shou_num_groupby_weekday_min,2
round3,aoi_num,1
round3,month,0
round3,aoi_type,0
round3,aoi_area,0
round3,is_month_start,0
round3,quarter,0
round3,is_weekend,0
round3,daily_delim_6,0
round3,is_quarter_start,0
round3,is_quarter_end,0
round3,daily_delim_4,0
round3,daily_delim_2,0
round4,zone_id,68
round4,shou_num_groupby_weekday_median,37
round4,daily_delim_5,36
round4,dayofyear,34
round4,shou_num_shift_3,29
round4,daily_delim_1,28
round4,pai_num_shift_3,26
round4,day,17
round4,pai_num_shift_5,15
round4,pai_num_groupby_month_min,15
round4,shou_num_shift_7,15
round4,festival,15
round4,shou_num_groupby_weekday_sum,15
round4,pai_num_shift_4,14
round4,shou_num_shift_6,14
round4,shou_num_groupby_weekday_max,11
round4,shou_num_groupby_weekday_min,11
round4,pai_num_groupby_month_std,10
round4,weekofyear,10
round4,pai_num_groupby_weekday_max,10
round4,shou_num_shift_5,10
round4,shou_num_groupby_month_max,9
round4,pai_num_shift_6,7
round4,pai_num_groupby_weekday_std,7
round4,pai_num_groupby_weekday_median,7
round4,shou_num_shift_4,6
round4,shou_num_groupby_month_median,6
round4,shou_num_groupby_month_min,5
round4,pai_num_groupby_month_sum,5
round4,shou_num_groupby_month_std,5
round4,is_sale,5
round4,is_month_end,4
round4,pai_num_shift_7,4
round4,pai_num_groupby_weekday_sum,3
round4,daily_delim_3,2
round4,pai_num_groupby_month_max,2
round4,shou_num_groupby_month_sum,2
round4,aoi_area,2
round4,pai_num_groupby_weekday_min,2
round4,weekday,1
round4,aoi_num,1
round4,pai_num_groupby_month_median,1
round4,shou_num_groupby_weekday_std,1
round4,daily_delim_6,0
round4,aoi_type,0
round4,month,0
round4,is_month_start,0
round4,quarter,0
round4,is_weekend,0
round4,is_quarter_start,0
round4,is_quarter_end,0
round4,daily_delim_4,0
round4,daily_delim_2,0
round5,zone_id,69
round5,dayofyear,42
round5,daily_delim_5,30
round5,daily_delim_1,26
round5,shou_num_groupby_weekday_median,26
round5,day,20
round5,shou_num_groupby_weekday_sum,19
round5,pai_num_shift_5,19
round5,festival,17
round5,pai_num_shift_4,17
round5,pai_num_groupby_month_min,16
round5,pai_num_shift_3,16
round5,shou_num_shift_3,16
round5,shou_num_groupby_weekday_max,13
round5,shou_num_groupby_month_max,12
round5,pai_num_groupby_month_sum,12
round5,shou_num_shift_5,12
round5,daily_delim_3,11
round5,shou_num_groupby_weekday_std,9
round5,weekofyear,9
round5,shou_num_shift_7,9
round5,shou_num_shift_6,9
round5,pai_num_groupby_weekday_max,9
round5,shou_num_groupby_month_std,8
round5,pai_num_shift_6,8
round5,weekday,7
round5,pai_num_shift_7,7
round5,shou_num_groupby_month_sum,7
round5,shou_num_groupby_month_median,6
round5,shou_num_shift_4,6
round5,pai_num_groupby_month_std,6
round5,pai_num_groupby_month_median,6
round5,is_sale,5
round5,pai_num_groupby_weekday_median,4
round5,pai_num_groupby_month_max,4
round5,pai_num_groupby_weekday_min,3
round5,shou_num_groupby_weekday_min,3
round5,shou_num_groupby_month_min,2
round5,pai_num_groupby_weekday_sum,2
round5,month,2
round5,pai_num_groupby_weekday_std,2
round5,is_month_end,2
round5,aoi_num,1
round5,aoi_type,0
round5,aoi_area,0
round5,quarter,0
round5,is_quarter_start,0
round5,is_weekend,0
round5,is_month_start,0
round5,is_quarter_end,0
round5,daily_delim_4,0
round5,daily_delim_6,0
round5,daily_delim_2,0
round6,zone_id,56
round6,dayofyear,41
round6,daily_delim_5,35
round6,daily_delim_1,30
round6,shou_num_groupby_weekday_median,30
round6,shou_num_shift_3,24
round6,pai_num_shift_5,23
round6,pai_num_shift_4,19
round6,shou_num_groupby_weekday_sum,19
round6,festival,17
round6,shou_num_shift_5,15
round6,pai_num_shift_3,15
round6,day,15
round6,pai_num_shift_6,13
round6,shou_num_shift_7,13
round6,pai_num_groupby_month_min,13
round6,pai_num_shift_7,11
round6,shou_num_shift_6,11
round6,shou_num_shift_4,10
round6,shou_num_groupby_weekday_max,9
round6,weekofyear,9
round6,shou_num_groupby_month_median,9
round6,pai_num_groupby_weekday_std,8
round6,pai_num_groupby_month_std,8
round6,shou_num_groupby_month_std,8
round6,shou_num_groupby_month_max,7
round6,shou_num_groupby_month_sum,7
round6,weekday,6
round6,pai_num_groupby_month_max,6
round6,shou_num_groupby_weekday_std,5
round6,pai_num_groupby_month_sum,5
round6,pai_num_groupby_month_median,5
round6,is_sale,5
round6,pai_num_groupby_weekday_min,5
round6,pai_num_groupby_weekday_median,4
round6,shou_num_groupby_weekday_min,4
round6,pai_num_groupby_weekday_sum,3
round6,pai_num_groupby_weekday_max,3
round6,shou_num_groupby_month_min,2
round6,daily_delim_3,2
round6,aoi_num,2
round6,is_month_end,2
round6,aoi_type,0
round6,aoi_area,0
round6,month,0
round6,quarter,0
round6,is_quarter_start,0
round6,is_weekend,0
round6,is_month_start,0
round6,is_quarter_end,0
round6,daily_delim_4,0
round6,daily_delim_6,0
round6,daily_delim_2,0
