,column,importance
round0,dayofyear,233
round0,pai_num_groupby_weekday_median,194
round0,daily_delim_1,159
round0,pai_num_groupby_weekday_min,138
round0,festival,132
round0,day,129
round0,pai_num_shift_5,105
round0,pai_num_groupby_month_max,99
round0,pai_num_groupby_weekday_std,83
round0,shou_num_shift_3,83
round0,pai_num_groupby_month_median,79
round0,daily_delim_5,77
round0,zone_id,75
round0,is_sale,74
round0,pai_num_shift_3,74
round0,pai_num_groupby_month_min,72
round0,pai_num_shift_7,69
round0,pai_num_shift_4,68
round0,weekofyear,66
round0,pai_num_groupby_weekday_sum,65
round0,pai_num_groupby_month_sum,64
round0,shou_num_shift_5,62
round0,shou_num_shift_7,61
round0,pai_num_shift_6,61
round0,weekday,58
round0,pai_num_groupby_weekday_max,56
round0,shou_num_shift_4,55
round0,shou_num_shift_6,55
round0,pai_num_groupby_month_std,46
round0,shou_num_groupby_month_std,40
round0,shou_num_groupby_weekday_median,33
round0,shou_num_groupby_weekday_sum,20
round0,shou_num_groupby_weekday_max,20
round0,shou_num_groupby_weekday_std,19
round0,shou_num_groupby_weekday_min,19
round0,shou_num_groupby_month_max,19
round0,month,19
round0,shou_num_groupby_month_median,17
round0,shou_num_groupby_month_min,14
round0,daily_delim_3,13
round0,is_month_end,11
round0,shou_num_groupby_month_sum,10
round0,aoi_area,9
round0,aoi_num,8
round0,aoi_type,3
round0,daily_delim_6,0
round0,daily_delim_4,0
round0,is_quarter_end,0
round0,is_quarter_start,0
round0,is_month_start,0
round0,is_weekend,0
round0,quarter,0
round0,daily_delim_2,0
round1,dayofyear,222
round1,daily_delim_1,158
round1,pai_num_groupby_weekday_median,156
round1,festival,136
round1,day,124
round1,pai_num_groupby_month_max,106
round1,pai_num_groupby_weekday_min,106
round1,pai_num_groupby_weekday_sum,105
round1,pai_num_shift_5,103
round1,pai_num_groupby_month_median,87
round1,daily_delim_5,86
round1,shou_num_shift_3,86
round1,is_sale,82
round1,pai_num_shift_7,79
round1,pai_num_groupby_weekday_std,78
round1,pai_num_shift_3,72
round1,pai_num_groupby_month_min,69
