zone_id,aoi_num,aoi_type,aoi_area,pai_num_shift_3,pai_num_shift_4,pai_num_shift_5,pai_num_shift_6,pai_num_shift_7,shou_num_shift_3,shou_num_shift_4,shou_num_shift_5,shou_num_shift_6,shou_num_shift_7,month,day,weekofyear,weekday,dayofyear,quarter,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,daily_delim_1,daily_delim_2,daily_delim_3,daily_delim_4,daily_delim_5,daily_delim_6,pai_num_groupby_weekday_max,pai_num_groupby_weekday_min,pai_num_groupby_weekday_median,pai_num_groupby_weekday_std,pai_num_groupby_weekday_avg,shou_num_groupby_weekday_max,shou_num_groupby_weekday_min,shou_num_groupby_weekday_median,shou_num_groupby_weekday_std,shou_num_groupby_weekday_avg,pai_num_groupby_month_max,pai_num_groupby_month_min,pai_num_groupby_month_median,pai_num_groupby_month_std,pai_num_groupby_month_sum,shou_num_groupby_month_max,shou_num_groupby_month_min,shou_num_groupby_month_median,shou_num_groupby_month_std,shou_num_groupby_month_sum,festival,is_sale,target,predict
zone_0,22,6,288830.06033,,,,,,,,,,,3,1,9,6,61,1,1,1,0,0,0,-1.1692499071402977e-11,1.0,-2.3384998142805954e-11,1.0,-2.0525581985842078e-11,1.0,,,,,,,,,,,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,481.0,457
zone_0,22,6,288830.06033,,,,,,,,,,,3,2,10,0,62,1,0,0,0,0,0,-7.393960449414201e-12,1.0,-1.4787920898828402e-11,1.0,6.921949108491103e-12,1.0,,,,,,,,,,,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,478.0,483
zone_0,22,6,288830.06033,,,,,,,,,,,3,3,10,1,63,1,0,0,0,0,0,-3.0954218274254236e-12,1.0,-6.190843654850847e-12,1.0,-2.383818071064312e-11,1.0,,,,,,,,,,,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,603.0,508
zone_0,22,6,288830.06033,481.0,,,,,298.0,,,,,3,4,10,2,64,1,0,0,0,0,0,1.203116794563353e-12,1.0,2.406233589126706e-12,1.0,3.6093503836900594e-12,1.0,,,,,,,,,,,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,565.0,522
zone_0,22,6,288830.06033,478.0,481.0,,,,470.0,298.0,,,,3,5,10,3,65,1,0,0,0,0,0,-9.050259811814723e-12,1.0,-1.8100519623629445e-11,1.0,-2.7150779435444165e-11,1.0,,,,,,,,,,,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,545.0,521
zone_0,22,6,288830.06033,603.0,478.0,481.0,,,476.0,470.0,298.0,,,3,6,10,4,66,1,0,0,0,0,0,-4.751721189825946e-12,1.0,-9.503442379651891e-12,1.0,2.967516588890156e-13,1.0,,,,,,,,,,,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,543.0,529
zone_0,22,6,288830.06033,565.0,603.0,478.0,481.0,,437.0,476.0,470.0,298.0,,3,7,10,5,67,1,1,0,0,0,0,-4.5318256783716874e-13,1.0,-9.063651356743375e-13,1.0,-3.046337816024521e-11,1.0,,,,,,,,,,,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,512.0,511
zone_0,22,6,288830.06033,545.0,565.0,603.0,478.0,481.0,440.0,437.0,476.0,470.0,298.0,3,8,10,6,68,1,1,0,0,0,0,-1.0706559174215244e-11,1.0,-2.141311834843049e-11,1.0,-3.015847065912028e-12,1.0,481.0,481.0,481.0,,481.0,298.0,298.0,298.0,,298.0,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,487.0,496
zone_0,22,6,288830.06033,543.0,545.0,565.0,603.0,478.0,412.0,440.0,437.0,476.0,470.0,3,9,11,0,69,1,0,0,0,0,0,-6.408020552226467e-12,1.0,-1.2816041104452934e-11,1.0,-3.3775976885046254e-11,1.0,478.0,478.0,478.0,,478.0,470.0,470.0,470.0,,470.0,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,448.0,495
zone_0,22,6,288830.06033,512.0,543.0,545.0,565.0,603.0,405.0,412.0,440.0,437.0,476.0,3,10,11,1,70,1,0,0,0,0,0,-2.1094819302376906e-12,1.0,-4.218963860475381e-12,1.0,-6.328445790713072e-12,1.0,603.0,603.0,603.0,,603.0,476.0,476.0,476.0,,476.0,603.0,344.0,463.0,65.15062193088619,14387.0,518.0,270.0,369.0,63.085558736717466,11508.0,0,0,498.0,541
