,column,importance
round0,day,278
round0,dayofyear,269
round0,shou_num_shift_3,264
round0,daily_delim_5,257
round0,shou_num_shift_7,230
round0,shou_num_shift_5,228
round0,shou_num_shift_4,206
round0,daily_delim_1,184
round0,pai_num_shift_4,183
round0,shou_num_shift_6,181
round0,pai_num_shift_7,180
round0,shou_num_groupby_weekday_median,176
round0,shou_num_groupby_weekday_sum,176
round0,pai_num_shift_5,175
round0,pai_num_shift_6,150
round0,shou_num_groupby_month_median,146
round0,pai_num_shift_3,146
round0,shou_num_groupby_weekday_min,136
round0,zone_id,135
round0,festival,133
round0,shou_num_groupby_month_max,132
round0,shou_num_groupby_weekday_std,109
round0,shou_num_groupby_month_min,104
round0,shou_num_groupby_weekday_max,86
round0,pai_num_groupby_month_std,82
round0,shou_num_groupby_month_sum,75
round0,weekday,71
round0,shou_num_groupby_month_std,66
round0,weekofyear,65
round0,pai_num_groupby_month_min,64
round0,pai_num_groupby_month_max,63
round0,pai_num_groupby_weekday_min,59
round0,pai_num_groupby_weekday_median,53
round0,pai_num_groupby_weekday_std,50
round0,is_sale,50
round0,pai_num_groupby_weekday_max,38
round0,pai_num_groupby_weekday_sum,36
round0,pai_num_groupby_month_sum,32
round0,daily_delim_3,29
round0,pai_num_groupby_month_median,28
round0,month,26
round0,aoi_area,25
round0,aoi_num,23
round0,aoi_type,8
round0,is_weekend,8
round0,is_month_end,7
round0,is_quarter_end,1
round0,quarter,0
round0,is_quarter_start,0
round0,is_month_start,0
round0,daily_delim_4,0
round0,daily_delim_6,0
round0,daily_delim_2,0
round1,dayofyear,296
round1,shou_num_shift_3,249
round1,shou_num_shift_5,248
round1,day,245
round1,shou_num_shift_7,228
round1,daily_delim_5,225
round1,pai_num_shift_7,208
round1,shou_num_shift_4,194
round1,pai_num_shift_4,192
round1,shou_num_groupby_weekday_median,190
round1,shou_num_groupby_weekday_sum,185
round1,pai_num_shift_5,170
round1,pai_num_shift_3,169
round1,shou_num_shift_6,167
round1,daily_delim_1,166
round1,shou_num_groupby_month_median,153
round1,pai_num_shift_6,141
round1,shou_num_groupby_month_max,137
round1,shou_num_groupby_weekday_min,133
round1,shou_num_groupby_weekday_std,131
round1,festival,128
round1,zone_id,122
round1,pai_num_groupby_month_std,108
round1,shou_num_groupby_month_min,106
round1,shou_num_groupby_weekday_max,94
round1,shou_num_groupby_month_std,76
round1,weekofyear,73
round1,pai_num_groupby_month_min,58
round1,pai_num_groupby_month_max,58
round1,is_sale,56
round1,weekday,55
round1,shou_num_groupby_month_sum,54
round1,pai_num_groupby_weekday_std,51
round1,pai_num_groupby_weekday_min,50
round1,pai_num_groupby_weekday_median,49
round1,daily_delim_3,35
round1,pai_num_groupby_month_sum,33
round1,pai_num_groupby_weekday_sum,33
round1,aoi_num,29
round1,pai_num_groupby_weekday_max,28
round1,pai_num_groupby_month_median,27
round1,month,22
round1,aoi_area,20
round1,aoi_type,9
round1,is_month_end,7
round1,is_weekend,3
round1,is_month_start,1
round1,is_quarter_end,1
round1,daily_delim_6,0
round1,quarter,0
round1,is_quarter_start,0
round1,daily_delim_4,0
round1,daily_delim_2,0
round2,day,273
round2,dayofyear,261
round2,shou_num_shift_3,256
round2,shou_num_shift_7,254
round2,daily_delim_5,245
round2,shou_num_shift_5,238
round2,shou_num_groupby_weekday_sum,212
round2,shou_num_shift_4,205
round2,shou_num_shift_6,200
round2,pai_num_shift_4,187
round2,pai_num_shift_7,171
round2,shou_num_groupby_weekday_median,170
round2,daily_delim_1,163
round2,pai_num_shift_5,156
round2,pai_num_shift_6,152
round2,pai_num_shift_3,151
round2,shou_num_groupby_month_max,143
round2,shou_num_groupby_month_median,137
round2,festival,133
round2,zone_id,127
round2,shou_num_groupby_weekday_min,115
round2,shou_num_groupby_month_min,100
round2,shou_num_groupby_weekday_std,99
round2,shou_num_groupby_weekday_max,97
round2,pai_num_groupby_month_std,93
round2,shou_num_groupby_month_std,87
round2,weekofyear,82
round2,shou_num_groupby_month_sum,75
round2,weekday,65
round2,pai_num_groupby_month_min,60
round2,pai_num_groupby_weekday_median,53
round2,is_sale,50
round2,pai_num_groupby_month_sum,48
round2,pai_num_groupby_weekday_min,45
round2,pai_num_groupby_month_max,45
round2,pai_num_groupby_weekday_std,43
round2,pai_num_groupby_month_median,37
round2,daily_delim_3,35
round2,pai_num_groupby_weekday_sum,26
round2,pai_num_groupby_weekday_max,25
round2,aoi_area,25
round2,month,22
round2,aoi_num,21
round2,aoi_type,9
round2,is_weekend,6
round2,is_month_end,4
round2,is_quarter_end,0
round2,is_quarter_start,0
round2,is_month_start,0
round2,quarter,0
round2,daily_delim_4,0
round2,daily_delim_6,0
round2,daily_delim_2,0
round3,dayofyear,319
round3,day,244
round3,daily_delim_5,242
round3,shou_num_shift_7,240
round3,shou_num_shift_3,216
