loss,hyperparameters,iteration,status
0.07064038073591686,"{'colsample_bytree': 0.8390706124242169, 'learning_rate': 0.15254573689941076, 'max_depth': 10, 'n_estimators': 26, 'num_leaves': 154, 'reg_alpha': 0.3288250147887011, 'reg_lambda': 0.8983979827486, 'metric': ['mape'], 'objective': 'regression'}",4,ok
0.07088437645944935,"{'colsample_bytree': 0.9657120574255491, 'learning_rate': 0.11631119289940348, 'max_depth': 8, 'n_estimators': 44, 'num_leaves': 200, 'reg_alpha': 0.9820614032560899, 'reg_lambda': 0.8070213957526235, 'metric': ['mape'], 'objective': 'regression'}",32,ok
0.07122384025836402,"{'colsample_bytree': 0.8396414749289345, 'learning_rate': 0.1396468863572989, 'max_depth': 14, 'n_estimators': 31, 'num_leaves': 193, 'reg_alpha': 0.6379524312371542, 'reg_lambda': 0.09031808339258174, 'metric': ['mape'], 'objective': 'regression'}",2,ok
0.07145600921633657,"{'colsample_bytree': 0.964874105979016, 'learning_rate': 0.09930057582875217, 'max_depth': 11, 'n_estimators': 49, 'num_leaves': 167, 'reg_alpha': 0.5211074986577728, 'reg_lambda': 0.6878080086325618, 'metric': ['mape'], 'objective': 'regression'}",38,ok
0.07192391960668741,"{'colsample_bytree': 0.6482305678511079, 'learning_rate': 0.10679503870005057, 'max_depth': 4, 'n_estimators': 62, 'num_leaves': 112, 'reg_alpha': 0.6246203212923558, 'reg_lambda': 0.21247220262559563, 'metric': ['mape'], 'objective': 'regression'}",7,ok
0.07198943425078648,"{'colsample_bytree': 0.9961801710104091, 'learning_rate': 0.1181804544858061, 'max_depth': 13, 'n_estimators': 46, 'num_leaves': 104, 'reg_alpha': 0.47426710365796887, 'reg_lambda': 0.7155300253982789, 'metric': ['mape'], 'objective': 'regression'}",28,ok
0.07205871326585202,"{'colsample_bytree': 0.7506244036286482, 'learning_rate': 0.1066747253390726, 'max_depth': 18, 'n_estimators': 34, 'num_leaves': 73, 'reg_alpha': 0.3043456755437324, 'reg_lambda': 0.5672771852864144, 'metric': ['mape'], 'objective': 'regression'}",14,ok
0.07213926817705374,"{'colsample_bytree': 0.7374032243470572, 'learning_rate': 0.09306039894560385, 'max_depth': 5, 'n_estimators': 56, 'num_leaves': 169, 'reg_alpha': 0.22062397879121876, 'reg_lambda': 0.5986450924139244, 'metric': ['mape'], 'objective': 'regression'}",47,ok
0.07228291000724907,"{'colsample_bytree': 0.7699974739055544, 'learning_rate': 0.07479387684259073, 'max_depth': 3, 'n_estimators': 107, 'num_leaves': 112, 'reg_alpha': 0.7880893755071305, 'reg_lambda': 0.7198524817167674, 'metric': ['mape'], 'objective': 'regression'}",48,ok
0.07251927584512408,"{'colsample_bytree': 0.9502764915078621, 'learning_rate': 0.14920075130197857, 'max_depth': 18, 'n_estimators': 22, 'num_leaves': 57, 'reg_alpha': 0.7012012958168099, 'reg_lambda': 0.14871125293796073, 'metric': ['mape'], 'objective': 'regression'}",8,ok
0.07253751675766314,"{'colsample_bytree': 0.8128852912154942, 'learning_rate': 0.12919431210077886, 'max_depth': 12, 'n_estimators': 23, 'num_leaves': 100, 'reg_alpha': 0.010595311073484659, 'reg_lambda': 0.32506818974996576, 'metric': ['mape'], 'objective': 'regression'}",26,ok
0.07256400085937917,"{'colsample_bytree': 0.913714748768651, 'learning_rate': 0.11730122967501937, 'max_depth': 7, 'n_estimators': 36, 'num_leaves': 162, 'reg_alpha': 0.9007427113546577, 'reg_lambda': 0.9010296752368628, 'metric': ['mape'], 'objective': 'regression'}",35,ok
0.0726554084708114,"{'colsample_bytree': 0.8340758190166255, 'learning_rate': 0.1894751693921608, 'max_depth': 14, 'n_estimators': 25, 'num_leaves': 152, 'reg_alpha': 0.08507756044588821, 'reg_lambda': 0.014131115512271863, 'metric': ['mape'], 'objective': 'regression'}",21,ok
0.07284785563569705,"{'colsample_bytree': 0.8860233715304349, 'learning_rate': 0.042134097784843345, 'max_depth': 12, 'n_estimators': 76, 'num_leaves': 124, 'reg_alpha': 0.7800126654768702, 'reg_lambda': 0.2318657120569586, 'metric': ['mape'], 'objective': 'regression'}",20,ok
