,column,importance
round0,sf_shou_num_shift_3,167
round0,pai_num_groupby_weekday_median,116
round0,pai_num_shift_4,108
round0,zone_id,99
round0,pai_num_shift_7,98
round0,festival,96
round0,dayofyear,95
round0,pai_num_shift_5,93
round0,sf_pai_num_shift_3,90
round0,pai_num_shift_3,87
round0,shou_num_shift_7,80
round0,pai_num_shift_6,79
round0,sf_pai_num_shift_7,78
round0,daily_delim_1,77
round0,day,77
round0,shou_num_shift_3,76
round0,pai_num_groupby_weekday_min,75
round0,shou_num_shift_5,74
round0,pai_num_groupby_weekday_sum,69
round0,pai_num_groupby_month_sum,67
round0,pai_num_groupby_month_max,64
round0,pai_num_groupby_month_median,62
round0,sf_pai_num_shift_6,62
round0,shou_num_shift_4,61
round0,pai_num_groupby_month_std,56
round0,pai_num_groupby_weekday_std,56
round0,daily_delim_5,56
round0,shou_num_shift_6,54
round0,sf_shou_num_shift_7,48
round0,sf_shou_num_shift_5,48
round0,shou_num_groupby_weekday_median,46
round0,pai_num_groupby_month_min,45
round0,shou_num_groupby_month_std,44
round0,sf_shou_num_shift_4,39
round0,is_sale,38
round0,sf_pai_num_shift_4,34
round0,shou_num_groupby_month_sum,30
round0,shou_num_groupby_month_min,29
round0,sf_shou_num_shift_6,29
round0,shou_num_groupby_weekday_std,29
round0,sf_pai_num_shift_5,25
round0,weekofyear,24
round0,pai_num_groupby_weekday_max,23
round0,shou_num_groupby_weekday_min,23
round0,shou_num_groupby_weekday_sum,21
round0,shou_num_groupby_month_max,19
round0,aoi_num,16
round0,shou_num_groupby_month_median,15
round0,shou_num_groupby_weekday_max,15
round0,sf_pai_num_groupby_month_max,13
round0,weekday,11
round0,sf_pai_num_groupby_weekday_min,11
round0,sf_pai_num_groupby_weekday_std,10
round0,aoi_area,10
round0,sf_pai_num_groupby_weekday_max,7
round0,sf_pai_num_groupby_month_std,7
round0,month,6
round0,aoi_type,4
round0,sf_pai_num_groupby_month_min,4
round0,sf_shou_num_groupby_weekday_std,2
round0,sf_shou_num_groupby_weekday_max,2
round0,sf_shou_num_groupby_weekday_median,1
round0,sf_pai_num_groupby_month_sum,0
round0,sf_shou_num_groupby_month_sum,0
round0,sf_shou_num_groupby_month_std,0
round0,sf_shou_num_groupby_month_median,0
round0,sf_shou_num_groupby_month_min,0
round0,sf_shou_num_groupby_month_max,0
round0,sf_shou_num_groupby_weekday_sum,0
round0,sf_shou_num_groupby_weekday_min,0
round0,sf_pai_num_groupby_month_median,0
round0,quarter,0
round0,daily_delim_3,0
round0,sf_pai_num_groupby_weekday_sum,0
round0,daily_delim_4,0
round0,sf_pai_num_groupby_weekday_median,0
round0,is_quarter_start,0
round0,daily_delim_6,0
round0,daily_delim_2,0
round0,is_month_end,0
round0,is_month_start,0
round0,is_weekend,0
round0,is_quarter_end,0
round1,sf_shou_num_shift_3,146
round1,zone_id,119
round1,pai_num_groupby_weekday_median,111
round1,daily_delim_1,103
round1,pai_num_shift_7,94
round1,pai_num_shift_5,90
round1,festival,89
round1,dayofyear,87
round1,day,87
round1,shou_num_shift_3,84
round1,shou_num_shift_7,81
round1,pai_num_shift_3,79
round1,pai_num_shift_6,78
round1,pai_num_groupby_month_max,78
round1,sf_pai_num_shift_3,78
round1,pai_num_shift_4,73
round1,sf_pai_num_shift_7,72
round1,daily_delim_5,72
round1,pai_num_groupby_month_sum,70
round1,shou_num_shift_5,69
round1,pai_num_groupby_weekday_min,65
round1,pai_num_groupby_weekday_sum,61
round1,pai_num_groupby_month_median,60
round1,shou_num_shift_4,59
round1,sf_pai_num_shift_6,57
round1,shou_num_shift_6,57
round1,sf_shou_num_shift_4,55
round1,pai_num_groupby_month_std,55
round1,pai_num_groupby_weekday_std,55
round1,sf_shou_num_shift_5,52
round1,sf_pai_num_shift_4,51
round1,shou_num_groupby_month_std,46
round1,shou_num_groupby_weekday_median,46
round1,is_sale,39
round1,sf_shou_num_shift_7,39
round1,shou_num_groupby_month_min,36
round1,sf_pai_num_shift_5,35
round1,shou_num_groupby_weekday_std,32
round1,sf_shou_num_shift_6,31
round1,pai_num_groupby_month_min,31
round1,shou_num_groupby_month_max,29
round1,shou_num_groupby_weekday_max,28
round1,pai_num_groupby_weekday_max,26
round1,shou_num_groupby_weekday_min,20
round1,weekofyear,19
round1,shou_num_groupby_month_median,19
round1,aoi_num,17
round1,shou_num_groupby_weekday_sum,16
round1,shou_num_groupby_month_sum,16
round1,sf_pai_num_groupby_month_max,15
round1,sf_pai_num_groupby_weekday_min,15
round1,sf_pai_num_groupby_weekday_max,15
round1,sf_pai_num_groupby_month_min,9
round1,weekday,8
round1,aoi_area,7
round1,month,6
round1,aoi_type,5
round1,sf_shou_num_groupby_weekday_max,5
round1,sf_pai_num_groupby_weekday_std,2
