,column,importance
round0,dayofyear,224
round0,daily_delim_1,146
round0,pai_num_groupby_weekday_median,146
round0,festival,136
round0,day,131
round0,pai_num_groupby_weekday_sum,115
round0,pai_num_groupby_weekday_min,108
round0,pai_num_groupby_month_max,104
round0,pai_num_shift_5,83
round0,pai_num_shift_7,79
round0,pai_num_groupby_month_median,79
round0,shou_num_shift_3,76
round0,daily_delim_5,76
round0,pai_num_groupby_weekday_std,74
round0,pai_num_shift_3,73
round0,is_sale,73
round0,pai_num_groupby_month_sum,68
round0,zone_id,67
round0,pai_num_shift_4,67
round0,weekday,66
round0,pai_num_groupby_month_min,64
round0,pai_num_shift_6,60
round0,weekofyear,59
round0,shou_num_shift_7,51
round0,pai_num_groupby_month_std,50
round0,shou_num_shift_5,48
round0,shou_num_groupby_month_std,41
round0,shou_num_shift_4,40
round0,shou_num_shift_6,37
round0,shou_num_groupby_month_min,27
round0,shou_num_groupby_weekday_std,25
round0,month,25
round0,shou_num_groupby_weekday_median,23
round0,shou_num_groupby_weekday_min,23
round0,pai_num_groupby_weekday_max,22
round0,shou_num_groupby_month_max,19
round0,shou_num_groupby_month_median,11
round0,aoi_num,11
round0,shou_num_groupby_weekday_max,9
round0,shou_num_groupby_weekday_sum,9
round0,is_month_end,9
round0,shou_num_groupby_month_sum,9
round0,daily_delim_3,9
round0,aoi_area,8
round0,aoi_type,3
round0,is_weekend,0
round0,daily_delim_4,0
round0,is_month_start,0
round0,is_quarter_start,0
round0,is_quarter_end,0
round0,quarter,0
round0,daily_delim_6,0
round0,daily_delim_2,0
round1,dayofyear,254
round1,pai_num_groupby_weekday_median,184
round1,day,146
round1,daily_delim_1,143
round1,festival,135
round1,pai_num_groupby_month_max,123
round1,pai_num_groupby_weekday_min,112
round1,daily_delim_5,99
round1,pai_num_groupby_weekday_sum,88
round1,pai_num_shift_5,78
round1,pai_num_groupby_month_median,75
round1,is_sale,73
round1,zone_id,70
round1,weekday,67
round1,pai_num_groupby_weekday_std,66
round1,pai_num_shift_7,66
round1,shou_num_shift_7,64
round1,pai_num_groupby_month_std,63
round1,pai_num_groupby_month_min,62
round1,shou_num_shift_3,61
round1,weekofyear,59
round1,pai_num_shift_3,59
round1,shou_num_shift_5,55
round1,pai_num_shift_4,55
round1,pai_num_groupby_month_sum,54
round1,pai_num_shift_6,53
round1,shou_num_shift_4,44
round1,shou_num_shift_6,44
round1,shou_num_groupby_month_std,35
round1,pai_num_groupby_weekday_max,34
round1,shou_num_groupby_weekday_median,33
round1,shou_num_groupby_weekday_std,32
round1,month,19
round1,shou_num_groupby_month_min,19
round1,shou_num_groupby_month_sum,17
round1,daily_delim_3,16
round1,shou_num_groupby_month_median,15
round1,shou_num_groupby_month_max,14
round1,shou_num_groupby_weekday_sum,13
round1,shou_num_groupby_weekday_min,11
round1,aoi_area,11
round1,shou_num_groupby_weekday_max,10
round1,aoi_num,8
round1,aoi_type,6
round1,is_month_end,5
round1,is_month_start,1
round1,quarter,0
round1,is_weekend,0
round1,is_quarter_start,0
round1,is_quarter_end,0
round1,daily_delim_6,0
round1,daily_delim_4,0
round1,daily_delim_2,0
round2,dayofyear,224
round2,pai_num_groupby_weekday_median,174
round2,daily_delim_1,156
round2,day,135
round2,festival,129
round2,pai_num_groupby_month_max,116
round2,pai_num_groupby_weekday_min,103
round2,pai_num_groupby_month_median,91
round2,pai_num_groupby_weekday_sum,84
round2,shou_num_shift_3,80
round2,daily_delim_5,78
round2,pai_num_shift_3,76
round2,pai_num_shift_7,75
round2,is_sale,74
round2,weekday,73
round2,zone_id,73
round2,shou_num_shift_7,70
round2,pai_num_shift_5,67
round2,pai_num_groupby_weekday_std,66
round2,weekofyear,64
round2,pai_num_groupby_month_sum,55
round2,pai_num_groupby_month_std,54
round2,shou_num_shift_6,54
round2,pai_num_shift_4,53
round2,pai_num_groupby_month_min,52
round2,pai_num_shift_6,50
round2,shou_num_shift_5,49
round2,shou_num_shift_4,46
round2,shou_num_groupby_month_std,42
round2,shou_num_groupby_weekday_median,34
round2,shou_num_groupby_weekday_std,28
round2,pai_num_groupby_weekday_max,26
round2,daily_delim_3,26
round2,shou_num_groupby_month_min,25
round2,month,21
round2,shou_num_groupby_weekday_min,19
round2,shou_num_groupby_month_median,18
round2,shou_num_groupby_month_max,18
round2,aoi_num,17
round2,shou_num_groupby_weekday_sum,16
round2,shou_num_groupby_month_sum,16
round2,shou_num_groupby_weekday_max,11
round2,is_month_end,8
round2,aoi_type,7
round2,aoi_area,4
round2,is_weekend,1
round2,is_quarter_end,1
round2,is_month_start,0
round2,quarter,0
round2,daily_delim_6,0
round2,daily_delim_4,0
round2,is_quarter_start,0
round2,daily_delim_2,0
round3,dayofyear,233
round3,pai_num_groupby_weekday_median,181
round3,daily_delim_1,157
round3,day,145
round3,festival,131
round3,pai_num_groupby_weekday_min,109
round3,pai_num_groupby_month_max,101
round3,pai_num_groupby_weekday_sum,88
round3,daily_delim_5,86
round3,pai_num_groupby_month_min,77
round3,pai_num_shift_7,76
round3,shou_num_shift_3,75
round3,pai_num_groupby_month_median,75
round3,pai_num_shift_3,74
round3,is_sale,72
round3,pai_num_shift_5,71
round3,pai_num_groupby_weekday_std,69
round3,weekday,69
round3,pai_num_groupby_month_sum,65
round3,weekofyear,64
round3,pai_num_shift_6,63
round3,zone_id,61
round3,shou_num_shift_7,57
round3,shou_num_shift_6,57
round3,pai_num_groupby_month_std,53
round3,pai_num_shift_4,50
round3,shou_num_shift_4,47
round3,shou_num_shift_5,46
round3,shou_num_groupby_month_std,40
round3,pai_num_groupby_weekday_max,37
round3,shou_num_groupby_weekday_median,34
round3,shou_num_groupby_month_min,22
round3,shou_num_groupby_month_max,22
round3,shou_num_groupby_weekday_std,21
round3,month,21
round3,aoi_area,19
round3,aoi_num,16
round3,shou_num_groupby_weekday_sum,13
round3,shou_num_groupby_month_median,13
round3,shou_num_groupby_month_sum,13
round3,shou_num_groupby_weekday_min,13
round3,daily_delim_3,10
round3,shou_num_groupby_weekday_max,9
round3,is_month_end,8
round3,aoi_type,4
round3,is_weekend,1
round3,is_quarter_start,0
round3,quarter,0
round3,daily_delim_6,0
round3,daily_delim_4,0
round3,is_month_start,0
round3,is_quarter_end,0
round3,daily_delim_2,0
round4,dayofyear,239
round4,pai_num_groupby_weekday_median,182
round4,day,170
round4,daily_delim_1,138
round4,festival,129
round4,pai_num_groupby_weekday_min,118
round4,pai_num_groupby_month_max,113
round4,pai_num_groupby_month_median,97
round4,daily_delim_5,92
round4,zone_id,90
round4,pai_num_shift_3,84
round4,is_sale,74
round4,pai_num_shift_7,73
round4,shou_num_shift_3,71
round4,pai_num_shift_5,71
round4,pai_num_groupby_weekday_std,68
round4,pai_num_groupby_weekday_sum,65
round4,pai_num_groupby_month_min,64
round4,weekday,63
round4,pai_num_shift_6,62
round4,shou_num_shift_7,59
round4,pai_num_groupby_month_sum,58
round4,pai_num_shift_4,52
round4,pai_num_groupby_month_std,51
round4,weekofyear,51
round4,shou_num_shift_6,46
round4,shou_num_shift_5,44
round4,shou_num_shift_4,40
round4,shou_num_groupby_month_std,38
round4,pai_num_groupby_weekday_max,33
round4,shou_num_groupby_weekday_median,26
round4,shou_num_groupby_month_min,24
round4,shou_num_groupby_weekday_min,22
round4,shou_num_groupby_weekday_std,16
round4,month,15
round4,shou_num_groupby_weekday_max,15
round4,shou_num_groupby_month_median,12
round4,shou_num_groupby_month_max,12
round4,shou_num_groupby_month_sum,10
round4,aoi_num,10
round4,daily_delim_3,10
round4,aoi_area,6
round4,shou_num_groupby_weekday_sum,6
round4,is_month_end,6
round4,aoi_type,3
round4,is_quarter_end,1
round4,quarter,0
round4,is_weekend,0
round4,is_month_start,0
round4,is_quarter_start,0
round4,daily_delim_6,0
round4,daily_delim_4,0
round4,daily_delim_2,0
