loss,hyperparameters,iteration,status
0.11064948873529257,"{'colsample_bytree': 0.7009876309411761, 'reg_alpha': 0.6287270174035096, 'reg_lambda': 0.4090160162520601, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",39,ok
0.11299332880742556,"{'colsample_bytree': 0.8686969809860574, 'reg_alpha': 0.1258354560247128, 'reg_lambda': 0.24414590976704428, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",30,ok
0.1135069606609693,"{'colsample_bytree': 0.7661562113810245, 'reg_alpha': 0.14790029993438591, 'reg_lambda': 0.23117294994445475, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",29,ok
0.11354939523287955,"{'colsample_bytree': 0.7266300824169459, 'reg_alpha': 0.4027067508835481, 'reg_lambda': 0.5365210047015389, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",26,ok
0.11355544343826107,"{'colsample_bytree': 0.8754619932105794, 'reg_alpha': 0.03695985657097012, 'reg_lambda': 0.16223867922010476, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",38,ok
0.11365217566296817,"{'colsample_bytree': 0.7885374177671454, 'reg_alpha': 0.006145770013199298, 'reg_lambda': 0.22670646528808053, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",32,ok
0.11472079518004372,"{'colsample_bytree': 0.7004060190602551, 'reg_alpha': 0.617789223024625, 'reg_lambda': 0.3461707943084504, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",41,ok
0.11488828556709293,"{'colsample_bytree': 0.8777213613809263, 'reg_alpha': 0.13196136513883133, 'reg_lambda': 0.030992278298309223, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",33,ok
0.11533209470849892,"{'colsample_bytree': 0.7260785453651315, 'reg_alpha': 0.8559128746453952, 'reg_lambda': 0.7378944318539202, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",21,ok
0.11534303787987135,"{'colsample_bytree': 0.7486062277238354, 'reg_alpha': 0.9247300577873221, 'reg_lambda': 0.0016012768393342258, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",43,ok
0.11541234340956903,"{'colsample_bytree': 0.7234025185447507, 'reg_alpha': 0.7234227280379606, 'reg_lambda': 0.7138056582524914, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",23,ok
0.11606596768964328,"{'colsample_bytree': 0.7714774491905498, 'reg_alpha': 0.853826060834033, 'reg_lambda': 0.6550367118083197, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",13,ok
0.1163672886866836,"{'colsample_bytree': 0.8947621756305917, 'reg_alpha': 0.7696686476709381, 'reg_lambda': 0.46876019537301267, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",48,ok
0.11640860513961157,"{'colsample_bytree': 0.9274198391674511, 'reg_alpha': 0.9729616620590221, 'reg_lambda': 0.7999203232664133, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",17,ok
