,column,importance
round0,daily_delim_5,172
round0,dayofyear,163
round0,shou_num_shift_3,151
round0,day,139
round0,shou_num_groupby_weekday_sum,136
round0,shou_num_shift_7,136
round0,shou_num_shift_5,130
round0,daily_delim_1,128
round0,pai_num_shift_4,118
round0,festival,110
round0,shou_num_shift_4,108
round0,zone_id,100
round0,pai_num_shift_3,96
round0,shou_num_shift_6,94
round0,shou_num_groupby_weekday_median,94
round0,pai_num_shift_6,89
round0,shou_num_groupby_month_median,88
round0,pai_num_shift_5,81
round0,shou_num_groupby_weekday_min,71
round0,shou_num_groupby_weekday_std,66
round0,shou_num_groupby_month_std,61
round0,pai_num_shift_7,59
round0,shou_num_groupby_month_max,59
round0,weekofyear,54
round0,shou_num_groupby_month_min,53
round0,shou_num_groupby_weekday_max,49
round0,pai_num_groupby_month_std,46
round0,pai_num_groupby_weekday_min,35
round0,pai_num_groupby_weekday_std,34
round0,weekday,33
round0,shou_num_groupby_month_sum,33
round0,pai_num_groupby_month_min,32
round0,is_sale,32
round0,pai_num_groupby_month_max,23
round0,pai_num_groupby_weekday_median,21
round0,pai_num_groupby_month_sum,20
round0,aoi_area,18
round0,pai_num_groupby_month_median,17
round0,pai_num_groupby_weekday_sum,10
round0,is_month_end,10
round0,aoi_num,9
round0,pai_num_groupby_weekday_max,9
round0,month,7
round0,aoi_type,6
round0,is_weekend,0
round0,quarter,0
round0,is_quarter_end,0
round0,is_month_start,0
round0,is_quarter_start,0
round0,daily_delim_3,0
round0,daily_delim_4,0
round0,daily_delim_6,0
round0,daily_delim_2,0
round1,dayofyear,180
round1,day,156
round1,daily_delim_5,153
round1,daily_delim_1,151
round1,shou_num_shift_3,137
round1,shou_num_shift_5,132
round1,shou_num_shift_7,118
round1,shou_num_groupby_weekday_sum,117
round1,shou_num_shift_4,111
round1,festival,111
round1,pai_num_shift_4,103
round1,zone_id,103
round1,shou_num_groupby_weekday_median,99
round1,pai_num_shift_3,92
round1,pai_num_shift_6,90
round1,pai_num_shift_5,90
round1,shou_num_groupby_weekday_min,87
round1,shou_num_shift_6,83
round1,shou_num_groupby_month_median,77
round1,pai_num_shift_7,68
round1,shou_num_groupby_month_max,67
round1,shou_num_groupby_month_min,62
round1,shou_num_groupby_weekday_std,56
round1,weekofyear,56
round1,shou_num_groupby_weekday_max,48
round1,shou_num_groupby_month_std,45
round1,pai_num_groupby_weekday_median,38
round1,pai_num_groupby_month_std,36
round1,is_sale,36
round1,pai_num_groupby_month_max,35
round1,shou_num_groupby_month_sum,33
round1,weekday,28
round1,pai_num_groupby_month_sum,26
round1,pai_num_groupby_month_median,26
round1,pai_num_groupby_month_min,25
round1,pai_num_groupby_weekday_min,24
round1,pai_num_groupby_weekday_sum,23
round1,pai_num_groupby_weekday_max,20
round1,pai_num_groupby_weekday_std,17
round1,month,14
round1,aoi_area,10
round1,is_month_end,9
round1,aoi_num,5
round1,aoi_type,3
round1,quarter,0
round1,daily_delim_4,0
round1,is_quarter_end,0
round1,is_weekend,0
round1,is_month_start,0
round1,is_quarter_start,0
round1,daily_delim_6,0
round1,daily_delim_3,0
