,column,importance
round0,dayofyear,275
round0,day,274
round0,daily_delim_5,240
round0,shou_num_shift_7,234
round0,shou_num_shift_3,220
round0,shou_num_shift_4,207
round0,shou_num_groupby_weekday_sum,187
round0,daily_delim_1,178
round0,shou_num_shift_6,177
round0,shou_num_shift_5,170
round0,shou_num_groupby_weekday_median,169
round0,pai_num_shift_4,160
round0,pai_num_shift_5,150
round0,pai_num_shift_3,142
round0,shou_num_groupby_weekday_min,137
round0,shou_num_groupby_month_median,135
round0,festival,130
round0,pai_num_shift_7,128
round0,shou_num_groupby_month_max,125
round0,pai_num_shift_6,118
round0,shou_num_groupby_weekday_std,114
round0,shou_num_groupby_month_min,106
round0,zone_id,100
round0,shou_num_groupby_month_std,91
round0,weekofyear,91
round0,shou_num_groupby_weekday_max,87
round0,pai_num_groupby_month_std,74
round0,shou_num_groupby_month_sum,60
round0,pai_num_groupby_weekday_std,59
round0,is_sale,57
round0,weekday,53
round0,daily_delim_3,51
round0,pai_num_groupby_month_max,50
round0,pai_num_groupby_weekday_median,42
round0,pai_num_groupby_weekday_min,39
round0,pai_num_groupby_month_median,38
round0,pai_num_groupby_month_min,37
round0,pai_num_groupby_month_sum,35
round0,pai_num_groupby_weekday_max,34
round0,pai_num_groupby_weekday_sum,34
round0,month,27
round0,aoi_num,26
round0,aoi_area,22
round0,is_month_end,8
round0,aoi_type,7
round0,is_weekend,4
round0,is_month_start,1
round0,daily_delim_6,0
round0,quarter,0
round0,is_quarter_start,0
round0,is_quarter_end,0
round0,daily_delim_4,0
round0,daily_delim_2,0
round1,dayofyear,290
round1,day,282
round1,daily_delim_5,249
round1,shou_num_shift_7,236
round1,shou_num_shift_3,224
round1,shou_num_shift_5,206
round1,shou_num_groupby_weekday_median,192
round1,shou_num_shift_4,186
round1,daily_delim_1,177
round1,shou_num_shift_6,175
round1,pai_num_shift_4,169
round1,shou_num_groupby_weekday_sum,161
round1,pai_num_shift_7,152
round1,shou_num_groupby_month_median,147
round1,pai_num_shift_3,145
round1,shou_num_groupby_weekday_min,140
round1,shou_num_groupby_month_max,130
round1,festival,126
round1,pai_num_shift_6,125
round1,pai_num_shift_5,123
round1,shou_num_groupby_month_min,114
round1,shou_num_groupby_weekday_std,108
round1,zone_id,96
round1,weekofyear,90
round1,pai_num_groupby_month_std,81
round1,shou_num_groupby_month_std,78
round1,shou_num_groupby_month_sum,77
round1,pai_num_groupby_month_max,60
round1,pai_num_groupby_weekday_std,59
round1,weekday,58
round1,shou_num_groupby_weekday_max,58
round1,pai_num_groupby_month_min,51
round1,is_sale,51
round1,pai_num_groupby_weekday_min,45
round1,pai_num_groupby_weekday_median,41
round1,daily_delim_3,38
round1,pai_num_groupby_weekday_max,30
round1,pai_num_groupby_month_sum,30
round1,pai_num_groupby_month_median,29
round1,pai_num_groupby_weekday_sum,28
round1,month,27
round1,aoi_area,25
round1,aoi_num,19
round1,aoi_type,9
round1,is_month_end,9
round1,is_weekend,7
round1,is_month_start,2
round1,is_quarter_end,1
round1,quarter,0
round1,is_quarter_start,0
round1,daily_delim_4,0
round1,daily_delim_6,0
round1,daily_delim_2,0
round2,dayofyear,279
round2,day,278
round2,daily_delim_5,276
round2,shou_num_shift_3,241
round2,shou_num_shift_5,211
round2,shou_num_shift_7,200
round2,shou_num_groupby_weekday_median,196
round2,shou_num_shift_4,194
round2,pai_num_shift_4,177
round2,shou_num_groupby_weekday_sum,173
round2,shou_num_shift_6,169
round2,daily_delim_1,156
round2,pai_num_shift_5,155
round2,pai_num_shift_3,149
round2,pai_num_shift_7,145
round2,shou_num_groupby_month_median,143
round2,shou_num_groupby_weekday_min,135
round2,festival,127
round2,shou_num_groupby_month_max,125
round2,pai_num_shift_6,109
round2,shou_num_groupby_weekday_std,101
round2,shou_num_groupby_month_min,99
round2,zone_id,92
round2,shou_num_groupby_weekday_max,90
round2,pai_num_groupby_month_std,85
round2,weekofyear,85
round2,shou_num_groupby_month_std,79
round2,shou_num_groupby_month_sum,70
round2,pai_num_groupby_weekday_std,60
round2,weekday,56
round2,pai_num_groupby_weekday_median,55
round2,pai_num_groupby_month_min,52
round2,pai_num_groupby_month_max,49
round2,pai_num_groupby_weekday_min,49
round2,is_sale,48
round2,pai_num_groupby_month_sum,37
round2,daily_delim_3,36
round2,month,35
round2,pai_num_groupby_weekday_max,32
round2,pai_num_groupby_month_median,30
round2,aoi_area,28
round2,pai_num_groupby_weekday_sum,27
round2,aoi_num,24
round2,aoi_type,9
round2,is_month_end,9
round2,is_weekend,6
round2,is_month_start,1
round2,quarter,0
round2,is_quarter_start,0
round2,is_quarter_end,0
round2,daily_delim_4,0
round2,daily_delim_6,0
round2,daily_delim_2,0
round3,dayofyear,296
round3,day,289
round3,daily_delim_5,270
round3,shou_num_shift_3,224
round3,shou_num_groupby_weekday_median,219
round3,shou_num_shift_7,211
round3,shou_num_shift_5,197
round3,daily_delim_1,196
round3,shou_num_shift_4,187
round3,shou_num_groupby_weekday_sum,177
round3,shou_num_shift_6,176
round3,pai_num_shift_3,167
round3,pai_num_shift_4,166
round3,pai_num_shift_7,163
round3,pai_num_shift_5,163
round3,shou_num_groupby_month_median,145
round3,shou_num_groupby_weekday_min,142
round3,festival,133
round3,shou_num_groupby_month_max,121
round3,shou_num_groupby_month_min,111
round3,shou_num_groupby_weekday_std,110
round3,pai_num_shift_6,105
round3,shou_num_groupby_month_std,99
round3,zone_id,98
round3,weekofyear,83
round3,pai_num_groupby_month_std,76
round3,shou_num_groupby_weekday_max,75
round3,shou_num_groupby_month_sum,68
round3,pai_num_groupby_weekday_median,55
round3,is_sale,52
round3,pai_num_groupby_month_min,49
round3,weekday,49
round3,pai_num_groupby_weekday_std,48
round3,pai_num_groupby_month_max,47
round3,pai_num_groupby_weekday_min,40
round3,pai_num_groupby_weekday_sum,34
round3,pai_num_groupby_weekday_max,33
round3,pai_num_groupby_month_median,32
round3,daily_delim_3,31
round3,pai_num_groupby_month_sum,31
round3,month,21
round3,aoi_area,19
round3,aoi_num,19
round3,is_month_end,9
round3,is_weekend,9
round3,aoi_type,6
round3,is_quarter_end,1
round3,daily_delim_6,0
round3,quarter,0
round3,is_month_start,0
round3,is_quarter_start,0
round3,daily_delim_4,0
round3,daily_delim_2,0
round4,dayofyear,289
round4,daily_delim_5,282
round4,day,279
round4,shou_num_shift_3,270
round4,shou_num_shift_7,224
round4,shou_num_shift_5,210
round4,shou_num_groupby_weekday_median,208
round4,shou_num_shift_4,177
round4,shou_num_groupby_weekday_sum,177
round4,daily_delim_1,177
round4,pai_num_shift_4,173
round4,shou_num_groupby_month_median,156
round4,pai_num_shift_5,154
round4,shou_num_shift_6,153
round4,pai_num_shift_7,150
round4,pai_num_shift_3,146
round4,shou_num_groupby_month_max,143
round4,festival,136
round4,pai_num_shift_6,135
round4,shou_num_groupby_weekday_min,130
round4,shou_num_groupby_month_min,119
round4,zone_id,116
round4,shou_num_groupby_weekday_std,104
round4,pai_num_groupby_month_std,89
round4,weekofyear,83
round4,shou_num_groupby_weekday_max,80
round4,shou_num_groupby_month_std,76
round4,shou_num_groupby_month_sum,60
round4,weekday,55
round4,pai_num_groupby_month_max,54
round4,pai_num_groupby_weekday_std,54
round4,pai_num_groupby_weekday_median,53
round4,pai_num_groupby_month_sum,51
round4,is_sale,49
round4,pai_num_groupby_weekday_min,48
round4,pai_num_groupby_month_min,45
round4,pai_num_groupby_month_median,44
round4,pai_num_groupby_weekday_max,39
round4,daily_delim_3,34
round4,month,31
round4,pai_num_groupby_weekday_sum,30
round4,aoi_num,28
round4,aoi_area,17
round4,is_weekend,9
