aoi_id,aoi类型,aoi面积,zone_id
aoi_122,住宅小区,9957,zone_18
aoi_221,医院或医疗机构,20081,zone_16
aoi_21,住宅小区,36013.23299,zone_2
aoi_400,CBD及商住两用楼宇,2128,zone_11
aoi_170,产业园区,25230.484,zone_25
aoi_389,住宅小区,6644.3345,zone_14
aoi_276,CBD及商住两用楼宇,477,zone_18
aoi_74,住宅小区,2098.978,zone_27
aoi_10,住宅小区,65794,zone_19
aoi_179,产业园区,39813.18496,zone_17
aoi_287,其他,5807,zone_25
aoi_119,其他,14883,zone_19
aoi_282,住宅小区,15275.9375,zone_13
aoi_205,住宅小区,14372,zone_12
aoi_132,住宅小区,7579,zone_5
aoi_321,风景名胜,77110.68,zone_1
aoi_317,其他,45934,zone_17
aoi_376,住宅小区,12058,zone_29
aoi_298,CBD及商住两用楼宇,2813.5146,zone_10
aoi_266,住宅小区,6736.559,zone_5
aoi_339,住宅小区,19286.63463,zone_12
aoi_232,产业园区,9119,zone_0
aoi_89,住宅小区,33841,zone_19
aoi_64,宾馆酒店,192,zone_13
aoi_166,住宅小区,11428.664,zone_6
aoi_51,宾馆酒店,9479,zone_18
aoi_123,CBD及商住两用楼宇,1414,zone_6
aoi_209,产业园区,66451.48,zone_26
aoi_403,产业园区,44289.11542,zone_17
aoi_228,汽车服务相关,2985,zone_4
aoi_299,产业园区,28073,zone_17
aoi_90,住宅小区,4858.476199,zone_25
aoi_413,住宅小区,6580.892,zone_7
aoi_293,CBD及商住两用楼宇,18699.121,zone_3
aoi_54,产业园区,17631,zone_17
aoi_375,住宅小区,1079.9342,zone_28
aoi_347,住宅小区,30176.94318,zone_9
aoi_379,CBD及商住两用楼宇,55356,zone_6
aoi_200,医院或医疗机构,9658,zone_29
aoi_270,产业园区,2425,zone_8
aoi_247,CBD及商住两用楼宇,1240,zone_12
aoi_222,体育休闲场所,4719,zone_15
aoi_397,住宅小区,14712.759,zone_21
aoi_215,住宅小区,1408.4121,zone_10
aoi_18,CBD及商住两用楼宇,29928.445,zone_4
aoi_353,住宅小区,9387,zone_20
aoi_265,学校,1055,zone_17
aoi_226,产业园区,16513,zone_26
aoi_22,产业园区,5068,zone_15
aoi_311,购物中心,4478,zone_8
aoi_136,住宅小区,36875.473,zone_6
aoi_65,产业园区,56274,zone_26
aoi_331,CBD及商住两用楼宇,1969,zone_4
aoi_32,产业园区,30428,zone_9
aoi_425,住宅小区,9333,zone_0
aoi_185,住宅小区,26728.45,zone_7
aoi_244,CBD及商住两用楼宇,717,zone_18
aoi_190,CBD及商住两用楼宇,7929,zone_17
aoi_253,住宅小区,4096,zone_17
aoi_365,住宅小区,46758.3318,zone_4
aoi_169,CBD及商住两用楼宇,3547.265325,zone_24
aoi_359,CBD及商住两用楼宇,20244.047,zone_2
