zone_id,date,求和项:pai_num,求和项:shou_num,,,,,,,行标签,平均值项:求和项:pai_num,平均值项:求和项:shou_num,,
zone_0,20200301,481,1062,,,,,,,20200301,347.3666667,257.5666667,64.63705238,63.78708375
zone_0,20200302,478,470,,,,,,,20200302,428.1,333.3666667,,
zone_0,20200303,603,476,,,,,,,20200303,443.1333333,363.7,,
zone_0,20200304,565,437,,行标签,平均值项:求和项:pai_num,平均值项:求和项:shou_num,,,20200304,463.3666667,323.0333333,,
zone_0,20200305,545,440,,20200301,347.3666667,257.5666667,,,20200305,444.3333333,357.8,,
zone_0,20200306,543,412,,20200302,428.1,333.3666667,,,20200306,483.0666667,345.6,,
zone_0,20200307,512,405,,20200303,443.1333333,363.7,,,20200307,443.3333333,242.8,,
zone_0,20200308,487,342,,20200304,463.3666667,323.0333333,,,20200308,385.6,207,,
zone_0,20200309,448,518,,20200305,444.3333333,357.8,,,20200309,465.0666667,364.1666667,,
zone_0,20200310,498,422,,20200306,483.0666667,345.6,,,20200310,491.0666667,335.0666667,,
zone_0,20200311,505,409,,20200307,443.3333333,242.8,,,20200311,501.9333333,344.7666667,,
zone_0,20200312,589,379,,20200308,385.6,207,,,20200312,487.5333333,324.8666667,,
zone_0,20200313,475,369,,20200309,465.0666667,364.1666667,,,20200313,452.6666667,325.1,,
zone_0,20200314,437,314,,20200310,491.0666667,335.0666667,,,20200314,390.6666667,237.4,,
zone_0,20200315,398,351,,20200311,501.9333333,344.7666667,,,20200315,348.4666667,190.8666667,,
zone_0,20200316,466,369,,20200312,487.5333333,324.8666667,,,20200316,417.4666667,332.9,,
zone_0,20200317,449,344,,20200313,452.6666667,325.1,,,20200317,424.6,323.0333333,,
zone_0,20200318,455,355,,20200314,390.6666667,237.4,,,20200318,456.2333333,288.4666667,,
zone_0,20200319,436,282,,20200315,348.4666667,190.8666667,,,20200319,431.1666667,279.5333333,,
zone_0,20200320,417,314,,20200316,417.4666667,332.9,,,20200320,424.0666667,314.3333333,,
zone_0,20200321,463,295,,20200317,424.6,323.0333333,,,20200321,387.6333333,227.2666667,,
zone_0,20200322,344,285,,20200318,456.2333333,288.4666667,,,20200322,286.6,184.3666667,,
zone_0,20200323,351,398,,20200319,431.1666667,279.5333333,,,20200323,393.6666667,320,,
zone_0,20200324,433,378,,20200320,424.0666667,314.3333333,,,20200324,411.7666667,333.2,,
zone_0,20200325,541,455,,20200321,387.6333333,227.2666667,,,20200325,450.4666667,313.2333333,,
zone_0,20200326,436,356,,20200322,286.6,184.3666667,,,20200326,433.6666667,298.5333333,,
zone_0,20200327,468,316,,20200323,393.6666667,320,,,20200327,455.2333333,316.3,,
zone_0,20200328,409,281,,20200324,411.7666667,333.2,,,20200328,403.2666667,217.4333333,,
zone_0,20200329,376,270,,20200325,450.4666667,313.2333333,,,20200329,316.9,173.9333333,,
zone_0,20200330,421,384,,20200326,433.6666667,298.5333333,,,20200330,407.2333333,311.4333333,,
zone_0,20200331,358,384,,20200327,455.2333333,316.3,,,20200331,410.3666667,313.8,,
zone_0,20200401,362,329,,20200328,403.2666667,217.4333333,,,20200401,419.1333333,312.0333333,,
zone_0,20200402,426,448,,20200329,316.9,173.9333333,,,20200402,512.1666667,341.7666667,,
zone_0,20200403,416,478,,20200330,407.2333333,311.4333333,,,20200403,424.5,292.4,,
zone_0,20200404,374,285,,20200331,410.3666667,313.8,,,20200404,292.2333333,146.8,,
zone_0,20200405,268,269,,20200401,419.1333333,312.0333333,,,20200405,229.9666667,154.4666667,,
zone_0,20200406,282,306,,20200402,512.1666667,341.7666667,,,20200406,246.1333333,175.0333333,,
zone_0,20200407,319,387,,20200403,424.5,292.4,,,20200407,370.6666667,316.5666667,,
zone_0,20200408,465,362,,20200404,292.2333333,146.8,,,20200408,408.8333333,325.8666667,,
zone_0,20200409,404,327,,20200405,229.9666667,154.4666667,,,20200409,412.4666667,330.1666667,,
zone_0,20200410,433,330,,20200406,246.1333333,175.0333333,,,20200410,417.0666667,334.5333333,,
zone_0,20200411,401,318,,20200407,370.6666667,316.5666667,,,20200411,351.5333333,221.3333333,,
zone_0,20200412,389,303,,20200408,408.8333333,325.8666667,,,20200412,273.6,167.9,,
zone_0,20200413,328,362,,20200409,412.4666667,330.1666667,,,20200413,377.4666667,326.4333333,,
zone_0,20200414,394,521,,20200410,417.0666667,334.5333333,,,20200414,427.5333333,397.9333333,,
zone_0,20200415,412,406,,20200411,351.5333333,221.3333333,,,20200415,445.1333333,336.8333333,,
zone_0,20200416,372,345,,20200412,273.6,167.9,,,20200416,417.8666667,318.6666667,,
zone_0,20200417,397,334,,20200413,377.4666667,326.4333333,,,20200417,422.8333333,336.6333333,,
zone_0,20200418,417,302,,20200414,427.5333333,397.9333333,,,20200418,363.0333333,228.0333333,,
zone_0,20200419,345,291,,20200415,445.1333333,336.8333333,,,20200419,279.2333333,192.7333333,,
zone_0,20200420,335,331,,20200416,417.8666667,318.6666667,,,20200420,371.4,328.7666667,,
