date,sf_pai_num,sf_shou_num
20200220,248702,20680911
20200221,7358695,21033973
20200222,13196101,19236871
20200223,16757620,17610128
20200224,20613888,21716488
20200225,21032278,21940302
20200226,21603008,21918559
20200227,21703308,21730306
20200228,21604935,21908724
20200229,19869651,19516614
20200301,18859953,17710976
20200302,21641997,21999445
20200303,21080147,21500998
20200304,21510403,20884101
20200305,21850183,26088633
20200306,22310949,25479713
20200307,21736167,21514362
20200308,20612568,20408086
20200309,24170643,25561395
20200310,24356698,23193311
20200311,24789392,22041979
20200312,24149983,21333663
20200313,22611282,21346820
20200314,20121983,17806889
20200315,17393559,15525694
20200316,20243870,21394038
20200317,20201185,21138320
20200318,20652138,20985320
20200319,20831328,20749310
20200320,20792205,20781030
20200321,18894776,16715909
20200322,16146889,14498874
20200323,19381219,20664959
20200324,19666985,22096112
20200325,20671265,21650519
20200326,21187314,21315564
20200327,21442572,21740099
20200328,19301660,16998149
20200329,16559681,14502741
20200330,19587408,20293399
20200331,19331497,19869104
20200401,19643188,19979083
20200402,19707973,20008825
20200403,19722729,19416639
20200404,16438765,12478540
20200405,13926495,12849769
20200406,14157693,14809493
20200407,17715595,19846487
20200408,18941923,20350634
20200409,19904288,20625348
20200410,20175682,19930858
20200411,18054446,16067460
20200412,15487045,13673937
20200413,18367884,20339744
20200414,19021659,20043003
20200415,19779836,20036488
20200416,20050497,20110450
20200417,19928234,20883082
20200418,18187790,16512910
20200419,15774838,14289528
20200420,18730733,20686909
20200421,19367108,20363812
20200422,20119942,20059370
20200423,20351288,20805499
20200424,20330288,20510059
20200425,18166763,16085771
20200426,18272034,18294415
20200427,18845334,21076171
20200428,20265807,21046641
20200429,20840333,20755298
20200430,20430796,19117719
20200501,15952461,12028705
20200502,13739757,12836533
20200503,12971137,12874246
20200504,13637852,14553249
20200505,14081663,18304448
20200506,18690068,23104506
20200507,21534014,22239508
20200508,22459476,21836303
20200509,22127570,20261654
20200510,18122740,14778454
20200511,19677906,20866221
20200512,19893117,20765651
20200513,20693296,20624532
20200514,20533756,20500819
20200515,20254214,20505459
20200516,18469759,16515147
20200517,15721018,14860102
20200518,18872924,22802662
20200519,20563788,22381406
20200520,22152464,21634063
20200521,21831311,21403376
20200522,21217357,20764168
20200523,19357251,16388545
20200524,16277020,14045295
20200525,18572971,20916462
20200526,19450654,20967203
20200527,20736959,20712081
20200528,20741682,20094844
20200529,20220684,19556418
20200530,17680012,14747023
20200531,14489686,13017580
20200601,17152962,27759731
20200602,20944819,26291828
20200603,25080033,23247276
20200604,25670797,22302003
20200605,23716525,20596218
20200606,19769929,16958544
20200607,16190589,14950941
20200608,19184996,21586317
20200609,20087540,21501770
20200610,21306275,21249441
20200611,21293294,21206359
20200612,21065553,20945227
20200613,18843144,16177904
20200614,15771149,13805216
20200615,18466760,20411775
20200616,19321485,29676330
20200617,23425909,27194681
20200618,26812388,30200540
20200619,28496967,29436476
20200620,26592233,21281082
20200621,23296591,17813233
20200622,23916980,23098456
20200623,22905579,22497253
20200624,23096468,21015185
20200625,18013042,11695692
20200626,14831055,13745271
20200627,13553759,14236046
20200628,16914888,19399189
20200629,18735992,20452927
20200630,20089803,20290619
20200701,19867432,19752512
20200702,20047798,19564891
20200703,19674270,19364106
20200704,17577412,15005072
20200705,14503033,13244955
20200706,17576884,19897195
20200707,18676124,20134193
20200708,19746175,19687803
20200709,19726075,19444301
20200710,19530295,20721777
20200711,17716791,15848781
20200712,15140678,13875169
20200713,18305498,20493915
20200714,19317567,19938465
20200715,19871903,19683017
20200716,19838625,19838641
20200717,19685835,19393884
20200718,17575922,15173148
20200719,14676214,13688108
20200720,17585862,20548908
20200721,18977616,20409677
20200722,20299478,20015851
20200723,20197517,19958617
20200724,20075871,19556716
20200725,17710309,15085303
20200726,14504303,12963822
20200727,17324123,20146596
20200728,18678284,20322849
20200729,19888290,20252603
20200730,19888019,19637804
20200731,19728198,19310919
20200801,17271848,14749016
20200802,14361157,13099793
20200803,17084565,19354359
20200804,18151227,18947971
20200805,18891711,18958364
20200806,19109791,21366420
20200807,19844754,20287263
20200808,18246243,15578935
20200809,15382794,14994736
20200810,18551493,20591940
20200811,19477786,19973232
20200812,19936747,20140362
20200813,19930777,19946830
20200814,20093053,19918473
20200815,17854351,15582888
20200816,15048369,13739834
20200817,17841156,20747488
20200818,19144173,20862854
20200819,19918852,21083507
20200820,20689083,21207317
20200821,21169491,22190499
20200822,19544764,18020940
20200823,17255605,15847830
20200824,20222365,22562780
20200825,21484390,22167554
20200826,21624751,21786240
20200827,21778056,21490592
20200828,21858971,21216428
20200829,19554270,16978323
20200830,16552862,14862221
20200831,19132460,21038969
