,date,zone_id,aoi_num,aoi_type,aoi_area,pai_num_shift_3,pai_num_shift_4,pai_num_shift_5,pai_num_shift_6,pai_num_shift_7,shou_num_shift_3,shou_num_shift_4,shou_num_shift_5,shou_num_shift_6,shou_num_shift_7,month,day,weekofyear,weekday,dayofyear,quarter,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,daily_delim_1,daily_delim_2,daily_delim_3,daily_delim_4,daily_delim_5,daily_delim_6,pai_num_groupby_weekday_max,pai_num_groupby_weekday_min,pai_num_groupby_weekday_median,pai_num_groupby_weekday_std,pai_num_groupby_weekday_sum,pai_num_groupby_month_max,pai_num_groupby_month_min,pai_num_groupby_month_median,pai_num_groupby_month_std,pai_num_groupby_month_sum,shou_num_groupby_weekday_max,shou_num_groupby_weekday_min,shou_num_groupby_weekday_median,shou_num_groupby_weekday_std,shou_num_groupby_weekday_sum,shou_num_groupby_month_max,shou_num_groupby_month_min,shou_num_groupby_month_median,shou_num_groupby_month_std,shou_num_groupby_month_sum,festival,is_sale,target
0,2020-03-08,0,22,6,288830.06033,545.0,565.0,603.0,478.0,481.0,440.0,437.0,476.0,470.0,301.0,3,8,10,6,68,1,1,0,0,0,0,-1.0706559174215244e-11,1.0,-2.141311834843049e-11,1.0,-3.015847065912028e-12,1.0,529.0,268.0,376.0,63.462854888645566,6835.0,603.0,344.0,467.0,62.30594363497673,13232.0,364.0,269.0,311.5,32.076682812393706,5642.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,487.0
1,2020-03-09,0,22,6,288830.06033,543.0,545.0,565.0,603.0,478.0,412.0,440.0,437.0,476.0,470.0,3,9,11,0,69,1,0,0,0,0,0,-6.408020552226467e-12,1.0,-1.2816041104452934e-11,1.0,-3.3775976885046254e-11,1.0,478.0,282.0,375.5,54.46201530526677,6888.0,603.0,344.0,467.0,62.30594363497673,13232.0,518.0,284.0,387.5,57.210381730746896,7023.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,448.0
2,2020-03-10,0,22,6,288830.06033,512.0,543.0,545.0,565.0,603.0,405.0,412.0,440.0,437.0,476.0,3,10,11,1,70,1,0,0,0,0,0,-2.1094819302376906e-12,1.0,-4.218963860475381e-12,1.0,-6.328445790713072e-12,1.0,603.0,319.0,444.0,66.20535317425121,7485.0,603.0,344.0,467.0,62.30594363497673,13232.0,521.0,334.0,378.0,53.95397243825993,6778.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,498.0
3,2020-03-11,0,22,6,288830.06033,487.0,512.0,543.0,545.0,565.0,342.0,405.0,412.0,440.0,437.0,3,11,11,2,71,1,0,0,0,0,0,2.189056691751086e-12,1.0,4.378113383502172e-12,1.0,-3.70885756098473e-11,1.0,569.0,362.0,455.0,59.854205796728216,7889.0,603.0,344.0,467.0,62.30594363497673,13232.0,455.0,314.0,382.0,43.80959115098666,6526.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,505.0
4,2020-03-12,0,22,6,288830.06033,448.0,487.0,512.0,543.0,545.0,518.0,342.0,405.0,412.0,440.0,3,12,11,3,72,1,0,0,0,0,0,-8.06431991462699e-12,1.0,-1.612863982925398e-11,1.0,-9.641044515514115e-12,1.0,609.0,372.0,436.0,69.84446388188614,7897.0,603.0,344.0,467.0,62.30594363497673,13232.0,476.0,219.0,356.0,59.68400062659882,6167.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,589.0
5,2020-03-13,0,22,6,288830.06033,498.0,448.0,487.0,512.0,543.0,422.0,518.0,342.0,405.0,412.0,3,13,11,4,73,1,0,0,0,0,0,-3.7657812926382126e-12,1.0,-7.531562585276425e-12,1.0,-4.040117433464834e-11,1.0,552.0,289.0,433.0,59.92007363908605,7408.0,603.0,344.0,467.0,62.30594363497673,13232.0,487.0,244.0,334.0,62.90092170673728,5934.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,475.0
6,2020-03-14,0,22,6,288830.06033,505.0,498.0,448.0,487.0,512.0,409.0,422.0,518.0,342.0,405.0,3,14,11,5,74,1,1,0,0,0,0,5.327573293505642e-13,1.0,1.0655146587011284e-12,1.0,-1.2953643240315159e-11,1.0,577.0,293.0,418.0,63.6241124233643,7211.0,603.0,344.0,467.0,62.30594363497673,13232.0,405.0,247.0,314.0,38.596035796941045,5399.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,437.0
7,2020-03-15,0,22,6,288830.06033,589.0,505.0,498.0,448.0,487.0,379.0,409.0,422.0,518.0,342.0,3,15,11,6,75,1,1,0,0,0,0,-9.720619277027511e-12,1.0,-1.9441238554055022e-11,1.0,1.4493887854018022e-11,1.0,529.0,268.0,376.0,63.462854888645566,6835.0,603.0,344.0,467.0,62.30594363497673,13232.0,364.0,269.0,311.5,32.076682812393706,5642.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,398.0
8,2020-03-16,0,22,6,288830.06033,475.0,589.0,505.0,498.0,448.0,369.0,379.0,409.0,422.0,518.0,3,16,12,0,76,1,0,0,0,0,0,-5.422080655038734e-12,1.0,-1.0844161310077468e-11,1.0,-1.6266241965116202e-11,1.0,478.0,282.0,375.5,54.46201530526677,6888.0,603.0,344.0,467.0,62.30594363497673,13232.0,518.0,284.0,387.5,57.210381730746896,7023.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,466.0
9,2020-03-17,0,22,6,288830.06033,437.0,475.0,589.0,505.0,498.0,314.0,369.0,379.0,409.0,422.0,3,17,12,1,77,1,0,0,0,0,0,-1.1235420330499576e-12,1.0,-2.247084066099915e-12,1.0,1.1181289129216979e-11,1.0,603.0,319.0,444.0,66.20535317425121,7485.0,603.0,344.0,467.0,62.30594363497673,13232.0,521.0,334.0,378.0,53.95397243825993,6778.0,518.0,281.0,369.0,63.28759873040867,10473.0,0,0,449.0
