date_str,zone_id,pai_num,shou_num
2020-08-11,zone_0,383,368
2020-08-11,zone_1,337,284
2020-08-11,zone_10,246,446
2020-08-11,zone_11,383,460
2020-08-11,zone_12,551,356
2020-08-11,zone_13,380,279
2020-08-11,zone_14,413,179
2020-08-11,zone_15,417,296
2020-08-11,zone_16,457,286
2020-08-11,zone_17,349,311
2020-08-11,zone_18,391,268
2020-08-11,zone_19,399,413
2020-08-11,zone_2,308,258
2020-08-11,zone_20,362,178
2020-08-11,zone_21,357,345
2020-08-11,zone_22,492,190
2020-08-11,zone_23,351,249
2020-08-11,zone_24,288,377
2020-08-11,zone_25,372,491
2020-08-11,zone_26,534,466
2020-08-11,zone_27,446,470
2020-08-11,zone_28,424,207
2020-08-11,zone_29,353,232
2020-08-11,zone_3,321,321
2020-08-11,zone_4,569,481
2020-08-11,zone_5,401,418
2020-08-11,zone_6,398,259
2020-08-11,zone_7,420,217
2020-08-11,zone_8,470,288
2020-08-11,zone_9,455,258
2020-08-12,zone_0,399,347
2020-08-12,zone_1,353,286
2020-08-12,zone_10,261,439
2020-08-12,zone_11,400,434
2020-08-12,zone_12,552,352
2020-08-12,zone_13,407,273
2020-08-12,zone_14,432,166
2020-08-12,zone_15,431,294
2020-08-12,zone_16,470,288
2020-08-12,zone_17,375,305
2020-08-12,zone_18,382,265
2020-08-12,zone_19,411,383
2020-08-12,zone_2,332,313
2020-08-12,zone_20,391,184
2020-08-12,zone_21,381,318
2020-08-12,zone_22,495,178
2020-08-12,zone_23,363,226
2020-08-12,zone_24,305,382
2020-08-12,zone_25,425,473
2020-08-12,zone_26,555,460
2020-08-12,zone_27,459,473
2020-08-12,zone_28,437,210
2020-08-12,zone_29,372,211
2020-08-12,zone_3,352,317
2020-08-12,zone_4,600,455
2020-08-12,zone_5,433,392
2020-08-12,zone_6,435,243
2020-08-12,zone_7,448,218
2020-08-12,zone_8,488,285
2020-08-12,zone_9,470,249
2020-08-13,zone_0,392,320
2020-08-13,zone_1,351,285
2020-08-13,zone_10,242,449
2020-08-13,zone_11,389,433
2020-08-13,zone_12,553,350
2020-08-13,zone_13,396,273
2020-08-13,zone_14,430,167
2020-08-13,zone_15,439,295
2020-08-13,zone_16,465,272
2020-08-13,zone_17,376,314
2020-08-13,zone_18,386,247
2020-08-13,zone_19,412,405
2020-08-13,zone_2,323,292
2020-08-13,zone_20,376,185
2020-08-13,zone_21,379,306
2020-08-13,zone_22,495,177
2020-08-13,zone_23,358,225
2020-08-13,zone_24,307,380
2020-08-13,zone_25,408,475
2020-08-13,zone_26,556,464
2020-08-13,zone_27,469,475
2020-08-13,zone_28,434,191
2020-08-13,zone_29,377,212
2020-08-13,zone_3,349,304
2020-08-13,zone_4,580,434
2020-08-13,zone_5,426,383
2020-08-13,zone_6,422,243
2020-08-13,zone_7,441,203
2020-08-13,zone_8,485,295
2020-08-13,zone_9,466,252
