湖州市,天津市,武汉市,沈阳市/铁岭市/抚顺市,成都市/资阳市/眉山市,东莞市
"('杭州市', 16975284)","('保定市', 5959975)","('黄山市', 2253499)","('保定市', 1291931)","('贵阳市', 2311909)","('惠州市', 9407925)"
"('无锡市', 286113)","('无锡市', 100453)","('安庆市', 37982)","('无锡市', 21775)","('安庆市', 38966)","('安庆市', 158567)"
"('苏州市', 214110)","('合肥市', 75173)","('合肥市', 28423)","('合肥市', 16295)","('南宁市/崇左市', 29160)","('中山市', 118662)"
"('上海市', 2207848)","('德州市', 775169)","('长沙市', 293096)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 300693)","('东莞市', 1223618)"
"('苏州市', 831528)","('苏州市', 291947)","('苏州市', 110387)","('苏州市', 63285)","('广州市', 113248)","('广州市', 460844)"
"('杭州市', 7292687)","('盐城市', 2560442)","('杭州市', 968117)","('盐城市', 555022)","('肇庆市', 993210)","('肇庆市', 4041703)"
"('保定市', 154553)","('保定市', 54263)","('石家庄市', 20517)","('保定市', 11762)","('石家庄市', 21049)","('东莞市', 85655)"
"('泉州市', 587158)","('益阳市', 206149)","('益阳市', 77946)","('益阳市', 44687)","('益阳市', 79967)","('深圳市', 325410)"
"('上海市', 243661)","('石家庄市', 85549)","('上海市', 32346)","('石家庄市', 18544)","('石家庄市', 33185)","('广州市', 135040)"
"('深圳市', 1958898)","('长春市', 687764)","('广州市', 260047)","('长春市', 149085)","('广州市', 266787)","('广州市', 1085647)"
"('绍兴市', 622931)","('廊坊市', 218709)","('荆州市', 82695)","('廊坊市', 47409)","('荆州市', 84839)","('荆州市', 345236)"
"('苏州市', 17354)","('常州市', 6093)","('常州市', 2304)","('常州市', 1321)","('中山市', 2363)","('深圳市', 9618)"
"('福州市', 15145110)","('武汉市', 5317406)","('武汉市', 2010540)","('武汉市', 1152643)","('武汉市', 2062653)","('东莞市', 8393618)"
"('金华市', 4274)","('保定市', 1501)","('金华市', 567)","('沈阳市/铁岭市/抚顺市', 325)","('广州市', 582)","('广州市', 2369)"
"('杭州市', 40891968)","('济宁市', 14357056)","('杭州市', 5428480)","('长春市', 3112148)","('济宁市', 5569185)","('广州市', 22662863)"
"('绍兴市', 460469)","('天津市', 161669)","('无锡市', 61128)","('天津市', 35045)","('成都市/资阳市/眉山市', 62712)","('绍兴市', 255198)"
