武汉市,成都市/资阳市/眉山市,天津市,东莞市,湖州市,沈阳市/铁岭市/抚顺市
"('黄山市', 2253499)","('贵阳市', 2311909)","('保定市', 5959975)","('惠州市', 9407925)","('杭州市', 16975284)","('保定市', 1291931)"
"('安庆市', 37982)","('安庆市', 38966)","('无锡市', 100453)","('安庆市', 158567)","('无锡市', 286113)","('无锡市', 21775)"
"('合肥市', 28423)","('南宁市/崇左市', 29160)","('合肥市', 75173)","('中山市', 118662)","('苏州市', 214110)","('合肥市', 16295)"
"('长沙市', 293096)","('长沙市', 300693)","('德州市', 775169)","('东莞市', 1223618)","('上海市', 2207848)","('沈阳市/铁岭市/抚顺市', 168032)"
"('苏州市', 110387)","('广州市', 113248)","('苏州市', 291947)","('广州市', 460844)","('苏州市', 831528)","('苏州市', 63285)"
"('杭州市', 968117)","('肇庆市', 993210)","('盐城市', 2560442)","('肇庆市', 4041703)","('杭州市', 7292687)","('盐城市', 555022)"
"('石家庄市', 20517)","('石家庄市', 21049)","('保定市', 54263)","('东莞市', 85655)","('保定市', 154553)","('保定市', 11762)"
"('益阳市', 77946)","('益阳市', 79967)","('益阳市', 206149)","('深圳市', 325410)","('泉州市', 587158)","('益阳市', 44687)"
"('上海市', 32346)","('石家庄市', 33185)","('石家庄市', 85549)","('广州市', 135040)","('上海市', 243661)","('石家庄市', 18544)"
"('广州市', 260047)","('广州市', 266787)","('长春市', 687764)","('广州市', 1085647)","('深圳市', 1958898)","('长春市', 149085)"
"('荆州市', 82695)","('荆州市', 84839)","('廊坊市', 218709)","('荆州市', 345236)","('绍兴市', 622931)","('廊坊市', 47409)"
"('常州市', 2304)","('中山市', 2363)","('常州市', 6093)","('深圳市', 9618)","('苏州市', 17354)","('常州市', 1321)"
"('武汉市', 2010540)","('武汉市', 2062653)","('武汉市', 5317406)","('东莞市', 8393618)","('福州市', 15145110)","('武汉市', 1152643)"
"('金华市', 567)","('广州市', 582)","('保定市', 1501)","('广州市', 2369)","('金华市', 4274)","('沈阳市/铁岭市/抚顺市', 325)"
"('杭州市', 5428480)","('济宁市', 5569185)","('济宁市', 14357056)","('广州市', 22662863)","('杭州市', 40891968)","('长春市', 3112148)"
"('无锡市', 61128)","('成都市/资阳市/眉山市', 62712)","('天津市', 161669)","('绍兴市', 255198)","('绍兴市', 460469)","('天津市', 35045)"
