天津市,东莞市,沈阳市/铁岭市/抚顺市,武汉市,成都市/资阳市/眉山市,湖州市
"('保定市', 5959975)","('惠州市', 9407925)","('保定市', 1291931)","('黄山市', 2253499)","('贵阳市', 2311909)","('杭州市', 16975284)"
"('无锡市', 100453)","('安庆市', 158567)","('无锡市', 21775)","('安庆市', 37982)","('安庆市', 38966)","('无锡市', 286113)"
"('合肥市', 75173)","('中山市', 118662)","('合肥市', 16295)","('合肥市', 28423)","('南宁市/崇左市', 29160)","('苏州市', 214110)"
"('德州市', 775169)","('东莞市', 1223618)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 293096)","('长沙市', 300693)","('上海市', 2207848)"
"('苏州市', 291947)","('广州市', 460844)","('苏州市', 63285)","('苏州市', 110387)","('广州市', 113248)","('苏州市', 831528)"
"('盐城市', 2560442)","('肇庆市', 4041703)","('盐城市', 555022)","('杭州市', 968117)","('肇庆市', 993210)","('杭州市', 7292687)"
"('保定市', 54263)","('东莞市', 85655)","('保定市', 11762)","('石家庄市', 20517)","('石家庄市', 21049)","('保定市', 154553)"
"('益阳市', 206149)","('深圳市', 325410)","('益阳市', 44687)","('益阳市', 77946)","('益阳市', 79967)","('泉州市', 587158)"
"('石家庄市', 85549)","('广州市', 135040)","('石家庄市', 18544)","('上海市', 32346)","('石家庄市', 33185)","('上海市', 243661)"
"('长春市', 687764)","('广州市', 1085647)","('长春市', 149085)","('广州市', 260047)","('广州市', 266787)","('深圳市', 1958898)"
"('廊坊市', 218709)","('荆州市', 345236)","('廊坊市', 47409)","('荆州市', 82695)","('荆州市', 84839)","('绍兴市', 622931)"
"('常州市', 6093)","('深圳市', 9618)","('常州市', 1321)","('常州市', 2304)","('中山市', 2363)","('苏州市', 17354)"
"('武汉市', 5317406)","('东莞市', 8393618)","('武汉市', 1152643)","('武汉市', 2010540)","('武汉市', 2062653)","('福州市', 15145110)"
"('保定市', 1501)","('广州市', 2369)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 567)","('广州市', 582)","('金华市', 4274)"
"('济宁市', 14357056)","('广州市', 22662863)","('长春市', 3112148)","('杭州市', 5428480)","('济宁市', 5569185)","('杭州市', 40891968)"
"('天津市', 161669)","('绍兴市', 255198)","('天津市', 35045)","('无锡市', 61128)","('成都市/资阳市/眉山市', 62712)","('绍兴市', 460469)"
