trans_cost,dist_cost,storage_cost,in_bound_cost,out_bound_cost,reverse_cost,reverse_storage_cost,reverse_in_bound_cost,reverse_out_bound_cost,total_cost,Trunk_cost,Transit_cost,Dist_cost,rdc_area,reverse_area,rdc_weight,reverse_weight,rdc_shipping_distance,reverse_shipping_distance
14279333.76,147206608,28995603.18,0,31404264.68,6162815.801,4752553.795,0,5237656.624,238038835.9,10545482.77,113481879.2,23179246.07,95977.94401,16151.51692,169302321.9,28490809.48,238378.02,27786.72333
,,,,,,,,,232267283.3,,,,,,,,,
,,,,,,,,,-5771552.564,-0.024246264,,,112129.4609,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,成本项,费用（万元）,比例,,,,,,,,,,,,
,,,,干线配送成本,"1,428",6%,,,,,,,,,,,,
,,,,支线配送成本,"14,721",62%,,,,,,,,,,,,
,,,,调拨配送成本,616,3%,,,,,,,,,,,,
,,,,仓库租金,"3,375",14%,,,,,,,,,,,,
,,,,仓库操作费用,"3,664",15%,,,,,,,,,,,,
,,,,总成本,"23,804",,,,,,,,,,,,,
