src_code,dest_code,车型,distance,price/kg
10,20,5,2157.79,0.75763
10,21,5,1253.77,0.497886
10,22,5,125.72,0.114024
10,23,5,1743.49,0.638592
10,24,5,751.41,0.353548
10,25,5,1070.58,0.445252
10,27,5,1212.13,0.485922
10,28,5,1851.31,0.669572
10,29,5,1152.31,0.468734
10,310,5,495.54,0.28003
10,311,5,330.42,0.180736
10,312,5,168.78,0.134294
10,313,5,206.82,0.145224
10,314,5,250.3,0.157716
10,315,5,179.83,0.137468
10,316,5,56.58,0.096762
10,317,5,197.45,0.142532
10,318,5,323.68,0.1788
10,319,5,426,0.26005
10,335,5,309,0.174582
10,349,5,462.5,0.270538
10,350,5,474.24,0.27391
10,351,5,573.68,0.302482
10,352,5,323.92,0.178868
10,353,5,433.92,0.262326
10,354,5,591.65,0.307646
10,355,5,634.68,0.320008
10,356,5,770.99,0.359174
10,357,5,768.08,0.358338
10,358,5,696.2,0.337684
10,359,5,889.23,0.393146
10,370,5,744.13,0.351456
10,371,5,762.37,0.356696
10,372,5,574.4,0.302688
10,373,5,657.69,0.32662
10,374,5,821.92,0.373806
10,375,5,874.24,0.38884
10,376,5,994.97,0.423528
10,377,5,1006.15,0.42674
10,378,5,702.78,0.339576
10,379,5,811.6,0.370842
10,391,5,744.53,0.35157
10,392,5,591.31,0.307548
10,393,5,581.77,0.304806
10,394,5,826.01,0.374982
10,395,5,869.89,0.38759
10,396,5,936.41,0.406702
10,398,5,1012.94,0.42869
10,411,5,868.96,0.387322
10,412,5,691.45,0.33632
10,414,5,745.67,0.351898
10,415,5,911.96,0.399676
10,416,5,478.62,0.27517
10,417,5,615.45,0.314484
10,418,5,611.6,0.313378
10,419,5,708.99,0.34136
10,421,5,483.64,0.276612
10,427,5,581.07,0.304606
10,429,5,452.13,0.267558
10,431,5,1060.32,0.442304
10,432,5,1110.73,0.456788
10,433,5,1316.97,0.516044
10,434,5,897.04,0.39539
10,435,5,1002.01,0.42555
10,436,5,1052.64,0.440098
10,437,5,933.99,0.406006
