武汉市,成都市/资阳市/眉山市,沈阳市/铁岭市/抚顺市,湖州市,天津市,东莞市
"('黄山市', 3161384)","('贵阳市', 2011287)","('保定市', 1107960)","('杭州市', 10234681)","('保定市', 5970459)","('惠州市', 7709038)"
"('安庆市', 53284)","('安庆市', 33900)","('无锡市', 18674)","('无锡市', 172502)","('无锡市', 100630)","('安庆市', 129933)"
"('上海市', 45378)","('石家庄市', 28870)","('石家庄市', 15904)","('上海市', 146907)","('石家庄市', 85699)","('广州市', 110655)"
"('广州市', 364814)","('广州市', 232097)","('长春市', 127855)","('深圳市', 1181052)","('长春市', 688973)","('广州市', 889600)"
"('荆州市', 116011)","('荆州市', 73807)","('廊坊市', 40658)","('绍兴市', 375575)","('廊坊市', 219094)","('荆州市', 282893)"
"('常州市', 3232)","('中山市', 2056)","('常州市', 1133)","('苏州市', 10463)","('常州市', 6104)","('深圳市', 7881)"
"('武汉市', 2820543)","('武汉市', 1794442)","('武汉市', 988506)","('福州市', 9131239)","('武汉市', 5326759)","('东莞市', 6877896)"
"('金华市', 796)","('广州市', 506)","('沈阳市/铁岭市/抚顺市', 279)","('金华市', 2577)","('保定市', 1503)","('广州市', 1941)"
"('杭州市', 7615497)","('济宁市', 4845013)","('长春市', 2668978)","('杭州市', 24654448)","('济宁市', 14382310)","('广州市', 18570396)"
"('无锡市', 85755)","('成都市/资阳市/眉山市', 54558)","('天津市', 30054)","('绍兴市', 277624)","('天津市', 161954)","('绍兴市', 209114)"
